facilityId,averageInspectionScore
FA0000009,23
FA0000010,15
FA0000011,19
FA0000015,41
FA0000017,21
FA0000018,43
FA0000021,2
FA0000024,35
FA0000025,29
FA0000026,15
FA0000027,11
FA0000030,13
FA0000031,6
FA0000033,34
FA0000036,14
FA0000037,7
FA0000038,46
FA0000047,51
FA0000056,10
FA0000057,27
FA0000061,13
FA0000063,33
FA0000064,26
FA0000067,51
FA0000075,23
FA0000079,52
FA0000080,5
FA0000084,23
FA0000086,23
FA0000088,40
FA0000089,29
FA0000092,33
FA0000093,39
FA0000095,25
FA0000098,43
FA0000100,35
FA0000105,37
FA0000106,19
FA0000108,17
FA0000109,20
FA0000110,12
FA0000112,2
FA0000113,16
FA0000115,3
FA0000118,20
FA0000123,25
FA0000124,24
FA0000127,9
FA0000130,25
FA0000132,33
FA0000133,23
FA0000135,23
FA0000136,32
FA0000137,0
FA0000139,20
FA0000140,74
FA0000147,19
FA0000150,18
FA0000152,37
FA0000155,9
FA0000157,37
FA0000159,15
FA0000162,31
FA0000164,43
FA0000165,26
FA0000176,10
FA0000178,42
FA0000181,47
FA0000182,90
FA0000183,26
FA0000185,15
FA0000191,4
FA0000192,62
FA0000193,15
FA0000200,50
FA0000210,44
FA0000217,13
FA0000218,29
FA0000225,15
FA0000230,17
FA0000233,33
FA0000234,46
FA0000236,23
FA0000237,81
FA0000238,42
FA0000239,20
FA0000240,12
FA0000242,36
FA0000244,36
FA0000245,26
FA0000247,38
FA0000251,65
FA0000252,57
FA0000253,19
FA0000256,49
FA0000257,31
FA0000258,29
FA0000278,22
FA0000279,9
FA0000281,38
FA0000287,23
FA0000288,33
FA0000291,24
FA0000293,57
FA0000295,13
FA0000303,13
FA0000304,22
FA0000314,51
FA0000326,27
FA0000327,50
FA0000329,10
FA0000330,25
FA0000331,49
FA0000332,30
FA0000333,35
FA0000335,15
FA0000336,83
FA0000337,25
FA0000339,30
FA0000340,16
FA0000342,46
FA0000343,5
FA0000346,17
FA0000347,15
FA0000350,43
FA0000351,14
FA0000355,53
FA0000356,28
FA0000359,62
FA0000360,28
FA0000364,17
FA0000365,26
FA0000371,36
FA0000372,47
FA0000375,26
FA0000378,30
FA0000384,32
FA0000386,26
FA0000387,25
FA0000389,33
FA0000390,23
FA0000391,20
FA0000392,18
FA0000394,9
FA0000396,43
FA0000399,48
FA0000401,49
FA0000402,25
FA0000406,24
FA0000407,23
FA0000411,37
FA0000413,8
FA0000414,52
FA0000416,75
FA0000418,48
FA0000419,8
FA0000421,29
FA0000422,25
FA0000423,11
FA0000429,12
FA0000430,0
FA0000432,14
FA0000435,46
FA0000436,27
FA0000442,22
FA0000443,56
FA0000445,28
FA0000446,3
FA0000447,75
FA0000449,54
FA0000451,18
FA0000455,31
FA0000456,44
FA0000457,12
FA0000458,59
FA0000462,34
FA0000466,57
FA0000467,34
FA0000473,36
FA0000474,34
FA0000476,25
FA0000481,25
FA0000484,40
FA0000486,47
FA0000487,24
FA0000491,15
FA0000493,64
FA0000494,32
FA0000496,29
FA0000500,10
FA0000502,37
FA0000510,44
FA0000511,20
FA0000515,67
FA0000521,1
FA0000522,20
FA0000526,63
FA0000529,25
FA0000534,50
FA0000535,23
FA0000536,28
FA0000538,10
FA0000539,10
FA0000541,30
FA0000544,17
FA0000545,20
FA0000547,46
FA0000555,15
FA0000556,33
FA0000558,7
FA0000565,13
FA0000567,18
FA0000569,9
FA0000572,28
FA0000574,27
FA0000578,23
FA0000579,4
FA0000580,25
FA0000582,44
FA0000587,34
FA0000590,61
FA0000591,42
FA0000592,32
FA0000594,37
FA0000599,13
FA0000603,54
FA0000605,18
FA0000609,5
FA0000611,93
FA0000613,56
FA0000614,20
FA0000615,28
FA0000616,48
FA0000621,20
FA0000624,68
FA0000627,71
FA0000628,46
FA0000629,2
FA0000630,15
FA0000633,22
FA0000639,20
FA0000642,13
FA0000644,21
FA0000649,18
FA0000653,20
FA0000654,66
FA0000655,32
FA0000656,47
FA0000657,13
FA0000658,33
FA0000659,28
FA0000660,51
FA0000661,15
FA0000665,9
FA0000666,35
FA0000667,44
FA0000670,3
FA0000672,20
FA0000673,14
FA0000674,64
FA0000675,32
FA0000677,54
FA0000678,35
FA0000679,18
FA0000680,6
FA0000682,64
FA0000684,33
FA0000685,38
FA0000688,19
FA0000694,12
FA0000696,4
FA0000697,47
FA0000713,24
FA0000714,15
FA0000720,40
FA0000721,37
FA0000724,13
FA0000725,41
FA0000728,15
FA0000731,14
FA0000737,19
FA0000738,56
FA0000743,17
FA0000747,29
FA0000748,65
FA0000750,18
FA0000751,16
FA0000754,41
FA0000757,9
FA0000758,3
FA0000759,15
FA0000764,13
FA0000766,33
FA0000767,19
FA0000768,24
FA0000770,42
FA0000773,78
FA0000778,23
FA0000779,16
FA0000780,46
FA0000782,41
FA0000783,14
FA0000785,19
FA0000790,41
FA0000794,58
FA0000798,55
FA0000800,57
FA0000801,26
FA0000803,17
FA0000805,37
FA0000808,6
FA0000818,49
FA0000821,5
FA0000826,44
FA0000829,20
FA0000830,12
FA0000831,42
FA0000834,49
FA0000838,20
FA0000840,8
FA0000841,8
FA0000843,11
FA0000844,52
FA0000845,5
FA0000847,3
FA0000848,48
FA0000851,22
FA0000863,26
FA0000870,37
FA0000872,29
FA0000878,19
FA0000879,40
FA0000881,20
FA0000882,20
FA0000885,61
FA0000886,42
FA0000887,38
FA0000888,8
FA0000889,20
FA0000897,32
FA0000898,48
FA0000903,45
FA0000907,43
FA0000909,17
FA0000923,15
FA0000925,49
FA0000926,65
FA0000929,38
FA0000931,16
FA0000940,15
FA0000941,30
FA0000942,35
FA0000943,67
FA0000945,58
FA0000947,37
FA0000951,17
FA0000954,32
FA0000957,62
FA0000959,30
FA0000961,49
FA0000962,3
FA0000963,30
FA0000966,13
FA0000968,43
FA0000969,24
FA0000970,43
FA0000971,13
FA0000972,28
FA0000973,20
FA0000974,15
FA0000975,43
FA0000976,60
FA0000990,31
FA0000995,8
FA0000996,25
FA0000997,48
FA0001000,50
FA0001002,22
FA0001003,14
FA0001004,63
FA0001005,37
FA0001007,42
FA0001014,24
FA0001017,7
FA0001018,5
FA0001020,46
FA0001021,15
FA0001022,11
FA0001023,14
FA0001024,26
FA0001030,17
FA0001031,52
FA0001035,21
FA0001036,36
FA0001037,36
FA0001046,40
FA0001052,54
FA0001054,0
FA0001055,3
FA0001057,0
FA0001060,51
FA0001067,49
FA0001072,25
FA0001074,22
FA0001076,21
FA0001077,67
FA0001084,60
FA0001086,48
FA0001088,55
FA0001090,5
FA0001091,8
FA0001094,21
FA0001114,29
FA0001115,12
FA0001116,2
FA0001124,41
FA0001126,30
FA0001138,43
FA0001149,38
FA0001161,10
FA0001163,33
FA0001166,26
FA0001167,18
FA0001168,5
FA0001169,31
FA0001175,16
FA0001179,15
FA0001182,63
FA0001183,21
FA0001186,4
FA0001191,74
FA0001192,51
FA0001195,15
FA0001197,2
FA0001198,13
FA0001200,56
FA0001202,50
FA0001203,10
FA0001204,39
FA0001210,10
FA0001215,32
FA0001220,20
FA0001225,27
FA0001229,33
FA0001230,17
FA0001232,40
FA0001233,32
FA0001234,6
FA0001236,41
FA0001237,30
FA0001240,30
FA0001242,48
FA0001243,20
FA0001244,69
FA0001245,11
FA0001247,32
FA0001249,50
FA0001251,43
FA0001253,64
FA0001257,16
FA0001258,45
FA0001260,17
FA0001261,0
FA0001265,27
FA0001266,15
FA0001267,24
FA0001269,17
FA0001270,23
FA0001272,49
FA0001273,21
FA0001277,7
FA0001278,3
FA0001283,19
FA0001284,80
FA0001286,48
FA0001288,63
FA0001289,30
FA0001290,29
FA0001291,30
FA0001292,13
FA0001294,8
FA0001299,26
FA0001300,4
FA0001306,29
FA0001308,14
FA0001309,33
FA0001310,38
FA0001319,3
FA0001321,33
FA0001322,30
FA0001323,18
FA0001327,23
FA0001330,25
FA0001333,25
FA0001335,33
FA0001336,25
FA0001338,48
FA0001343,86
FA0001344,61
FA0001347,42
FA0001350,23
FA0001351,6
FA0001355,56
FA0001362,48
FA0001363,34
FA0001367,69
FA0001368,20
FA0001370,15
FA0001373,20
FA0001374,25
FA0001375,35
FA0001380,18
FA0001381,17
FA0001385,0
FA0001390,29
FA0001403,30
FA0001406,19
FA0001408,53
FA0001414,35
FA0001429,50
FA0001432,8
FA0001444,20
FA0001447,25
FA0001451,13
FA0001491,25
FA0001492,0
FA0001493,30
FA0001511,18
FA0001512,38
FA0001513,8
FA0001514,14
FA0001515,5
FA0001524,9
FA0001542,21
FA0001543,43
FA0001548,21
FA0001549,30
FA0001550,62
FA0001554,5
FA0001585,64
FA0001587,31
FA0001595,6
FA0001605,6
FA0001614,11
FA0001620,15
FA0001623,37
FA0001624,25
FA0001630,38
FA0001631,32
FA0001638,51
FA0001641,7
FA0001642,8
FA0001643,22
FA0001645,41
FA0001646,29
FA0001647,27
FA0001660,0
FA0001662,54
FA0001663,55
FA0001694,5
FA0001732,16
FA0001758,0
FA0001760,31
FA0001776,75
FA0001779,8
FA0001782,19
FA0001786,42
FA0001800,9
FA0002019,4
FA0002021,7
FA0002027,13
FA0002076,8
FA0002086,0
FA0002087,3
FA0002088,5
FA0002089,0
FA0002090,7
FA0002091,0
FA0002092,0
FA0002108,35
FA0002128,34
FA0002130,13
FA0002132,41
FA0002133,19
FA0002136,50
FA0002137,23
FA0002143,46
FA0002144,54
FA0002145,30
FA0002152,38
FA0002157,14
FA0002162,37
FA0002163,7
FA0002166,25
FA0002167,52
FA0002168,17
FA0002169,63
FA0002171,49
FA0002178,42
FA0002186,39
FA0002200,35
FA0002203,9
FA0002205,32
FA0002207,2
FA0002210,21
FA0002230,12
FA0002245,1
FA0002274,37
FA0002284,6
FA0002287,40
FA0002294,44
FA0002297,30
FA0002301,40
FA0002303,1
FA0002307,17
FA0002311,28
FA0002315,39
FA0002320,4
FA0002330,26
FA0002331,28
FA0002332,23
FA0002338,4
FA0002339,78
FA0002343,61
FA0002345,12
FA0002356,30
FA0002357,8
FA0002371,28
FA0002372,11
FA0002374,5
FA0002382,71
FA0002383,47
FA0002385,14
FA0002393,3
FA0002416,44
FA0002419,29
FA0002421,3
FA0002434,23
FA0002435,2
FA0002436,11
FA0002441,45
FA0002442,26
FA0002449,12
FA0002471,17
FA0002478,25
FA0002481,28
FA0002484,30
FA0002487,18
FA0002488,67
FA0002492,35
FA0002497,6
FA0002502,25
FA0002505,17
FA0002506,34
FA0002513,1
FA0002514,12
FA0002524,13
FA0002525,3
FA0002526,32
FA0002527,12
FA0002540,18
FA0002561,23
FA0002562,13
FA0002578,5
FA0002591,13
FA0002592,27
FA0002594,25
FA0002609,38
FA0002612,3
FA0002629,45
FA0002630,21
FA0002631,15
FA0002645,51
FA0002651,49
FA0002653,1
FA0002654,1
FA0002656,18
FA0002657,18
FA0002658,33
FA0002660,13
FA0002661,8
FA0002665,88
FA0002666,0
FA0002668,12
FA0002670,13
FA0002675,14
FA0002676,20
FA0002677,30
FA0002680,7
FA0002685,4
FA0002687,10
FA0002689,15
FA0002694,8
FA0002697,3
FA0002699,57
FA0002701,30
FA0002703,43
FA0002704,62
FA0002705,75
FA0002715,8
FA0002718,13
FA0002719,1
FA0002728,7
FA0002745,41
FA0002750,58
FA0002755,41
FA0002757,38
FA0002758,35
FA0002759,19
FA0002787,3
FA0002790,33
FA0002792,13
FA0002811,13
FA0002815,76
FA0002823,35
FA0002826,32
FA0002828,4
FA0002830,13
FA0002839,42
FA0002840,11
FA0002855,11
FA0002856,19
FA0002857,8
FA0002863,3
FA0002867,11
FA0002868,38
FA0002869,0
FA0002871,10
FA0002873,16
FA0002874,34
FA0002879,0
FA0002882,15
FA0002891,7
FA0002900,0
FA0002925,10
FA0002939,23
FA0002948,20
FA0002966,20
FA0002979,15
FA0002983,30
FA0002989,15
FA0002991,30
FA0003002,22
FA0003015,38
FA0003034,13
FA0003050,42
FA0003243,44
FA0003244,13
FA0003255,30
FA0003257,20
FA0003258,54
FA0003265,9
FA0003267,13
FA0003269,21
FA0003276,23
FA0003305,28
FA0003307,9
FA0003314,10
FA0003315,24
FA0003317,13
FA0003318,53
FA0003319,30
FA0003322,0
FA0003323,14
FA0003324,49
FA0003326,35
FA0003331,23
FA0003336,4
FA0003337,17
FA0003350,3
FA0003354,13
FA0003365,38
FA0003376,7
FA0003391,10
FA0003408,62
FA0003410,34
FA0003411,12
FA0003425,15
FA0003426,8
FA0003427,6
FA0003428,0
FA0003429,3
FA0003430,4
FA0003431,8
FA0003432,6
FA0003433,11
FA0003434,8
FA0003435,9
FA0003436,11
FA0003437,1
FA0003452,6
FA0003453,0
FA0003455,0
FA0003463,0
FA0003464,66
FA0003466,2
FA0003470,30
FA0003471,18
FA0003472,15
FA0003473,24
FA0003484,15
FA0003485,24
FA0003487,19
FA0003491,10
FA0003499,40
FA0003500,6
FA0003502,0
FA0003505,6
FA0003510,40
FA0003512,14
FA0003521,25
FA0003522,15
FA0003524,17
FA0003529,38
FA0003535,36
FA0003536,10
FA0003540,17
FA0003541,47
FA0003542,51
FA0003543,1
FA0003545,21
FA0003551,20
FA0003554,34
FA0003562,22
FA0003565,43
FA0003566,15
FA0003569,13
FA0003582,15
FA0003583,43
FA0003584,2
FA0003585,34
FA0003592,44
FA0003598,1
FA0003599,6
FA0003604,17
FA0003605,43
FA0003606,31
FA0003614,11
FA0003618,50
FA0003621,15
FA0003637,10
FA0003651,22
FA0003652,28
FA0003655,9
FA0003657,9
FA0003658,3
FA0003663,1
FA0003664,26
FA0003680,36
FA0003686,0
FA0003703,26
FA0003704,13
FA0003711,15
FA0003720,12
FA0003722,6
FA0003737,40
FA0003739,18
FA0003742,4
FA0003769,12
FA0003779,15
FA0003780,1
FA0003781,8
FA0003782,1
FA0003783,0
FA0003784,8
FA0003785,33
FA0003787,15
FA0003791,1
FA0003792,13
FA0003794,18
FA0003799,31
FA0003801,11
FA0003806,2
FA0003807,10
FA0003809,27
FA0003811,38
FA0003813,10
FA0003814,23
FA0003815,5
FA0003816,14
FA0003820,5
FA0003821,29
FA0003825,21
FA0003827,26
FA0003833,3
FA0003836,0
FA0003837,16
FA0003849,24
FA0003850,23
FA0003851,12
FA0003857,37
FA0003865,0
FA0003872,13
FA0003878,25
FA0003879,21
FA0003881,1
FA0003884,14
FA0003890,59
FA0003891,16
FA0003893,4
FA0003913,11
FA0003916,13
FA0004493,0
FA0004494,30
FA0004497,44
FA0004498,26
FA0004500,19
FA0004504,49
FA0004505,25
FA0004507,59
FA0004509,8
FA0004511,13
FA0004515,5
FA0004518,19
FA0004519,10
FA0004521,30
FA0004526,22
FA0004531,2
FA0004539,21
FA0004554,13
FA0004568,5
FA0004579,0
FA0004595,7
FA0004603,18
FA0004604,17
FA0004625,37
FA0004626,0
FA0004627,30
FA0004632,13
FA0004635,23
FA0004638,41
FA0004641,4
FA0004647,15
FA0004648,1
FA0004651,3
FA0004652,7
FA0004653,12
FA0004654,10
FA0004659,3
FA0004661,20
FA0004663,4
FA0004668,34
FA0004669,30
FA0004673,53
FA0004683,22
FA0004686,6
FA0004691,6
FA0004694,20
FA0004696,14
FA0004706,13
FA0004707,11
FA0004735,26
FA0004736,38
FA0004740,9
FA0004744,0
FA0004745,0
FA0004749,5
FA0004750,9
FA0004757,37
FA0004761,18
FA0004762,8
FA0004763,12
FA0004764,27
FA0004766,32
FA0004769,28
FA0004784,19
FA0004787,22
FA0004789,4
FA0004790,0
FA0004792,16
FA0004795,5
FA0004796,12
FA0004797,10
FA0004798,0
FA0004799,15
FA0004801,10
FA0004814,7
FA0004816,29
FA0004817,5
FA0004818,10
FA0004819,8
FA0004821,27
FA0004833,0
FA0004834,30
FA0004835,10
FA0004836,2
FA0004837,53
FA0004839,11
FA0004841,18
FA0004843,14
FA0004844,16
FA0004846,40
FA0004847,30
FA0004848,40
FA0004851,11
FA0004853,62
FA0004858,54
FA0004859,9
FA0004860,44
FA0004861,0
FA0004862,27
FA0004866,41
FA0004872,7
FA0004873,24
FA0004879,37
FA0004880,10
FA0004883,42
FA0004884,15
FA0004885,20
FA0004890,40
FA0004897,10
FA0004906,3
FA0004907,15
FA0004908,3
FA0004910,18
FA0004929,0
FA0004936,14
FA0004941,36
FA0004942,27
FA0004949,54
FA0004950,55
FA0004951,11
FA0004954,4
FA0004956,62
FA0004960,14
FA0004964,37
FA0004967,43
FA0004969,11
FA0004970,8
FA0004972,0
FA0004973,15
FA0004974,4
FA0004975,28
FA0004976,28
FA0004977,1
FA0004982,29
FA0004983,15
FA0004984,10
FA0004986,0
FA0004989,20
FA0004995,24
FA0004996,10
FA0005003,37
FA0005008,26
FA0005010,18
FA0005012,25
FA0005013,20
FA0005020,20
FA0005021,17
FA0005022,6
FA0005024,15
FA0005025,15
FA0005026,49
FA0005028,17
FA0005030,21
FA0005033,1
FA0005034,23
FA0005035,19
FA0005038,44
FA0005041,20
FA0005042,59
FA0005044,15
FA0005045,0
FA0005047,8
FA0005048,2
FA0005049,0
FA0005050,6
FA0005051,10
FA0005052,10
FA0005053,0
FA0005058,0
FA0005059,0
FA0005060,7
FA0005061,0
FA0005062,22
FA0005063,1
FA0005066,4
FA0005067,60
FA0005069,0
FA0005070,0
FA0005072,0
FA0005073,4
FA0005081,40
FA0005083,13
FA0005084,20
FA0005085,23
FA0005088,20
FA0005092,0
FA0005097,13
FA0005100,25
FA0005101,5
FA0005117,10
FA0005119,35
FA0005121,0
FA0005127,20
FA0005130,8
FA0005140,0
FA0005141,0
FA0005142,1
FA0005143,43
FA0005145,68
FA0005150,0
FA0005151,59
FA0005153,8
FA0005162,50
FA0005165,0
FA0005166,0
FA0005170,22
FA0005172,5
FA0005176,18
FA0005177,5
FA0005178,0
FA0005179,11
FA0005180,48
FA0005182,23
FA0005186,0
FA0005191,10
FA0005194,35
FA0005195,37
FA0005196,62
FA0005198,21
FA0005199,0
FA0005203,18
FA0005204,0
FA0005208,5
FA0005211,0
FA0005212,5
FA0005218,0
FA0005223,5
FA0005226,5
FA0005227,55
FA0005232,54
FA0005233,0
FA0005236,0
FA0005246,69
FA0005251,24
FA0005256,10
FA0005260,0
FA0005261,5
FA0005263,0
FA0005264,15
FA0005267,64
FA0005269,0
FA0005271,47
FA0005279,51
FA0005280,1
FA0005282,5
FA0005283,0
FA0005285,20
FA0005295,35
FA0005296,0
FA0005299,1
FA0005301,5
FA0005308,35
FA0005318,25
FA0005319,14
FA0005326,0
FA0005328,45
FA0005329,65
FA0005330,0
FA0005335,15
FA0005343,0
FA0005345,10
FA0005346,30
FA0005347,0
FA0005352,0
FA0005355,0
FA0005359,2
FA0005361,0
FA0005367,10
FA0005372,0
FA0005377,0
FA0005381,25
FA0005384,55
FA0005386,5
FA0005390,23
FA0005391,15
FA0005392,25
FA0005393,0
FA0005394,0
FA0005395,30
FA0005396,0
FA0005402,5
FA0005405,15
FA0005406,25
FA0005408,20
FA0005414,0
FA0005416,30
FA0005418,15
FA0005421,0
FA0005422,80
FA0005424,10
FA0005425,40
FA0005434,0
FA0005435,10
FA0005440,25
FA0005442,0
FA0005443,0
FA0005449,30
FA0005450,0
FA0005451,0
FA0005455,0
FA0005464,45
FA0005472,10
FA0005473,60
FA0005494,15
FA0005506,15
FA0005508,0
FA0005510,15
FA0005534,30
FA0005535,10
FA0005539,0
FA0005552,0
FA0005553,45
FA0005554,0
FA0005555,35
FA0005556,35
FA0005557,20
FA0005558,20
FA0005559,20
FA0005560,0
Grand Total,25
