,cat_5,cat_8,cat_14,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_FAST FOOD LIMITED MENU,healthScore,googleRating
430,1,1,1,0,0,0,1,3,High
431,0,0,0,0,0,0,0,4,High
432,1,0,1,0,0,1,0,3,Low
433,1,0,1,0,0,0,0,5,High
434,0,1,0,0,0,0,1,4,Low
435,0,1,0,0,0,0,1,5,Low
436,1,0,1,0,0,0,0,4,Low
437,1,0,0,0,0,0,0,4,Low
438,1,1,0,1,0,0,1,5,Low
439,1,0,0,0,0,0,1,5,Low
440,0,1,0,0,0,0,1,5,Low
441,0,0,0,0,0,0,0,5,Low
442,1,1,0,0,0,0,0,4,Low
443,1,0,0,0,0,0,0,3,Low
444,1,0,1,0,0,0,0,4,High
445,1,0,1,0,0,0,0,3,Low
446,0,0,0,0,0,0,1,5,High
447,0,1,0,0,0,0,0,3,High
448,0,0,0,0,0,0,0,5,Low
449,0,0,0,0,0,0,0,5,Low
450,1,0,1,0,0,0,0,4,Low
451,0,1,0,0,0,0,1,4,Low
452,0,1,0,0,0,0,0,4,High
453,1,1,0,0,0,1,0,4,Low
454,1,1,0,0,0,0,0,3,Low
455,0,0,0,0,0,0,1,5,Low
456,1,0,1,0,0,0,1,5,Low
457,1,1,0,0,0,0,0,4,Low
458,1,1,1,0,0,0,0,3,Low
459,1,0,0,0,0,0,1,4,Low
460,1,0,0,0,0,0,0,4,Low
461,0,0,0,0,0,0,0,3,Low
462,1,1,1,0,0,0,0,3,High
463,0,1,0,0,0,0,0,5,High
464,1,1,1,1,0,0,1,4,Low
465,1,1,1,0,0,0,0,2,Low
466,1,0,0,0,0,0,0,5,Low
467,0,0,0,0,0,1,0,3,Low
468,0,0,1,0,0,0,0,5,High
469,1,0,0,0,0,0,0,5,High
470,0,0,0,0,0,0,0,5,Low
471,1,0,0,0,0,0,0,5,High
472,0,1,0,0,0,0,1,4,Low
473,0,1,1,0,0,0,1,4,Low
474,1,0,0,0,0,0,0,4,Low
475,1,0,0,0,0,0,1,5,High
476,0,1,0,0,0,0,0,3,Low
477,1,1,0,0,0,0,0,3,High
478,1,1,0,0,0,0,0,4,High
479,1,1,1,0,0,0,1,4,Low
480,1,0,1,0,0,0,1,5,High
481,1,1,1,0,0,0,1,4,Low
482,0,1,1,0,0,0,1,5,High
483,1,0,0,0,0,0,1,4,Low
484,1,0,0,0,0,0,0,3,Low
485,0,0,0,0,0,1,0,5,Low
486,0,1,0,0,0,0,1,3,Low
487,0,1,0,0,0,0,0,3,Low
488,1,1,0,0,0,0,1,4,High
489,0,0,0,0,0,1,0,4,Low
490,0,1,0,0,0,0,0,4,Low
491,1,0,0,0,0,0,0,4,Low
492,1,0,0,1,0,0,1,5,Low
493,0,1,0,0,0,0,0,5,High
494,0,0,0,0,0,1,0,4,Low
495,1,0,1,0,0,0,0,5,Low
496,1,1,0,1,0,0,1,4,Low
497,1,1,1,0,0,0,0,3,Low
498,0,1,0,0,0,0,1,4,Low
499,1,1,0,0,0,0,0,4,Low
500,0,0,1,0,0,0,0,5,Low
501,0,1,0,0,0,0,1,4,Low
502,1,1,0,0,0,0,0,4,Low
503,1,0,1,0,0,0,1,4,Low
504,1,1,0,0,0,0,0,4,Low
505,1,0,0,0,0,1,0,4,Low
506,1,0,0,0,0,1,0,2,Low
507,1,1,1,0,0,0,0,3,Low
508,1,0,1,0,0,0,0,5,Low
509,1,1,0,0,0,0,1,4,Low
510,0,0,1,0,0,0,0,5,Low
511,0,1,0,0,0,0,1,4,Low
512,1,0,0,0,0,0,1,5,Low
513,1,1,0,0,0,0,0,3,Low
514,0,0,0,0,0,0,1,3,High
515,1,1,1,0,0,0,0,5,Low
516,0,0,0,0,0,0,1,5,Low
517,0,1,0,0,0,0,0,3,High
518,0,0,1,0,0,0,1,4,Low
519,0,0,0,0,0,0,0,4,Low
520,1,0,0,0,0,0,1,5,Low
521,1,0,0,0,0,0,1,5,Low
522,1,1,1,0,0,0,1,3,High
523,0,0,1,0,0,0,0,4,Low
524,1,1,0,0,0,0,1,5,Low
525,0,0,0,0,0,0,1,5,Low
526,0,0,0,0,0,0,0,4,Low
527,0,0,0,0,0,0,1,4,Low
528,0,1,1,0,0,0,1,4,Low
529,1,1,1,0,0,0,0,3,High
530,0,0,0,0,0,0,0,4,High
531,1,1,0,0,0,0,1,5,Low
532,0,0,0,0,0,0,1,5,Low
533,1,0,0,0,0,0,0,4,High
534,0,0,1,0,0,0,1,5,Low
535,0,0,0,0,0,0,1,4,Low
536,1,1,1,0,0,0,0,5,Low
537,1,1,0,0,0,0,0,4,Low
538,0,0,0,0,0,0,0,5,Low
539,0,1,0,0,0,0,1,5,Low
540,0,1,0,0,0,0,1,5,Low
541,0,0,0,0,0,0,1,4,High
542,1,0,0,0,0,0,0,4,Low
543,0,0,0,0,0,1,0,5,Low
544,1,1,0,0,0,0,1,3,Low
545,1,0,0,0,0,1,0,4,Low
546,0,1,0,0,0,0,0,5,Low
547,1,1,0,0,0,0,0,3,Low
548,1,0,1,0,0,0,0,3,Low
549,0,0,0,0,0,0,1,5,Low
550,0,0,0,0,0,0,1,5,Low
551,1,1,1,0,0,0,1,5,Low
552,0,0,0,0,0,0,1,5,Low
553,1,0,0,0,0,0,0,4,Low
554,1,0,1,1,0,0,1,5,Low
555,1,1,1,0,0,0,0,2,Low
556,1,0,0,0,0,0,1,5,Low
557,1,0,0,0,0,0,1,5,Low
558,1,1,1,1,0,0,1,5,Low
559,0,0,0,0,0,0,1,5,Low
560,0,1,0,0,0,0,0,4,Low
561,1,0,0,0,0,0,1,5,Low
562,0,1,1,1,0,0,1,5,Low
563,0,0,0,0,0,0,1,5,High
564,0,0,0,0,0,0,0,5,High
565,0,0,0,0,0,0,1,5,Low
566,0,0,0,0,0,0,0,3,Low
567,0,0,0,0,0,0,0,4,High
568,1,1,0,0,0,0,0,3,Low
569,1,1,0,0,0,0,1,3,Low
570,1,0,0,0,0,0,1,5,Low
571,1,0,1,1,0,0,1,5,Low
572,1,1,1,0,0,0,0,4,Low
573,1,1,1,0,0,0,0,3,Low
574,0,1,0,0,0,0,0,4,High
575,0,0,1,0,0,0,0,4,High
576,1,0,1,0,0,0,1,5,High
577,0,0,0,0,0,0,1,4,Low
578,0,0,0,0,0,0,0,5,Low
579,0,0,1,0,0,0,0,5,Low
580,0,0,0,0,0,0,0,2,Low
581,0,0,0,0,0,0,0,4,Low
582,0,1,0,0,0,0,1,4,High
583,0,0,0,0,0,0,1,5,Low
584,1,0,0,0,0,0,0,5,Low
585,1,1,1,1,0,0,1,3,High
586,1,0,0,1,0,0,1,5,Low
587,1,0,1,0,0,0,0,5,Low
588,0,0,1,0,0,0,1,5,Low
589,0,0,0,0,0,0,0,5,Low
590,1,0,0,0,0,0,0,5,High
591,1,1,0,0,0,0,0,4,Low
592,0,1,1,0,0,0,0,5,Low
593,0,1,0,0,0,0,0,4,Low
594,0,0,1,0,0,0,1,5,High
595,0,1,0,1,0,0,1,5,Low
596,1,1,0,1,0,0,1,5,High
597,1,0,0,1,0,0,0,4,Low
598,0,0,0,0,0,0,1,4,Low
599,1,0,0,1,0,0,1,5,Low
600,0,0,1,0,0,0,0,5,Low
601,1,1,0,0,0,0,0,4,Low
602,0,1,1,0,0,0,1,4,Low
603,0,0,0,0,0,0,0,4,Low
604,0,0,0,0,0,0,0,5,High
605,0,1,0,0,0,0,0,3,Low
606,1,1,0,0,0,0,0,3,Low
607,1,1,0,0,0,0,1,5,Low
608,0,0,0,0,0,0,1,4,Low
609,1,0,0,0,0,0,1,5,Low
610,1,1,1,0,0,0,0,3,High
611,0,0,0,0,0,0,1,5,Low
612,1,0,0,0,0,0,1,5,Low
613,1,1,1,0,0,0,0,4,Low
614,1,1,0,0,0,0,1,4,Low
615,0,0,1,0,0,0,1,5,Low
616,0,0,0,0,0,0,1,5,Low
617,1,1,1,0,0,0,0,4,Low
618,0,0,1,0,0,0,0,5,Low
619,1,0,0,0,0,0,1,3,Low
620,1,1,0,0,0,0,1,4,Low
621,0,1,0,0,0,0,0,5,Low
622,1,0,0,0,0,0,1,5,Low
623,1,0,0,0,0,0,0,5,Low
624,0,0,0,0,0,0,1,4,Low
625,1,1,1,0,0,0,0,3,Low
626,0,0,1,0,0,0,0,4,Low
627,1,1,0,0,0,0,0,3,High
628,0,1,1,0,0,0,1,5,Low
629,0,0,0,0,0,0,0,4,High
630,1,0,0,0,0,0,0,5,High
631,0,1,0,1,0,0,1,5,Low
632,0,1,0,0,0,0,1,4,Low
633,0,1,0,0,0,0,1,4,High
634,0,0,0,0,0,0,1,5,Low
635,0,0,0,0,0,0,1,5,Low
636,1,0,0,0,0,0,0,4,High
637,0,0,0,0,0,0,0,4,High
638,0,1,0,0,0,0,1,5,Low
639,0,1,0,0,0,0,0,4,Low
640,1,0,0,0,0,0,1,5,Low
641,1,1,0,0,0,0,1,4,Low
642,0,1,1,0,0,0,0,4,Low
643,0,0,0,0,0,0,1,5,Low
644,1,0,0,0,0,0,0,5,Low
645,1,1,0,0,0,0,0,3,Low
646,1,1,0,0,0,0,0,3,Low
647,0,0,0,0,0,0,1,5,Low
648,1,0,1,0,0,0,1,4,Low
649,0,0,0,0,0,0,0,5,Low
650,0,1,0,0,0,0,0,4,Low
651,1,1,1,0,0,0,0,3,Low
652,0,1,0,0,0,0,1,5,Low
653,1,0,0,0,0,0,1,3,High
654,0,1,0,0,0,0,1,5,Low
655,0,1,1,0,0,0,0,4,High
656,0,0,0,0,0,0,0,3,High
657,1,0,1,0,0,0,1,5,Low
658,1,0,0,0,0,0,0,5,High
659,0,1,1,0,0,0,0,3,Low
660,1,0,0,0,0,0,0,4,High
661,0,1,0,0,0,0,1,5,High
662,1,0,1,0,0,0,0,5,Low
663,1,0,0,0,0,0,0,5,High
664,0,1,1,0,0,0,0,4,Low
665,0,1,0,0,0,0,1,4,High
666,0,0,1,0,0,0,1,5,Low
667,0,0,0,0,0,0,1,5,High
668,0,1,0,1,0,0,1,5,High
669,0,0,0,0,0,0,0,4,High
670,0,0,0,0,0,0,0,5,High
671,1,0,0,1,0,0,1,5,Low
672,1,0,0,0,0,1,0,5,Low
673,0,0,0,0,0,0,0,5,High
674,0,1,0,0,0,0,0,5,Low
675,0,1,1,0,0,0,0,4,Low
676,0,0,1,0,0,0,1,5,Low
677,0,1,0,0,0,0,1,5,High
678,0,0,1,0,0,0,1,4,Low
679,0,0,0,0,0,0,1,5,High
680,0,0,0,0,0,0,1,5,Low
681,0,0,0,0,0,0,0,5,High
682,1,0,0,0,0,0,0,5,High
683,0,1,0,0,0,0,1,4,Low
684,0,1,1,0,0,0,1,4,Low
685,0,0,0,0,0,0,1,5,Low
686,0,1,0,0,0,0,1,4,Low
687,1,0,0,0,0,0,0,5,Low
688,0,0,0,0,0,0,1,4,Low
689,1,0,0,0,0,0,0,5,Low
690,1,1,0,0,0,0,0,4,Low
691,1,1,1,0,0,0,1,5,High
692,0,1,0,0,0,0,0,4,Low
693,1,1,1,0,0,0,1,5,Low
694,1,0,0,0,0,0,0,3,Low
695,0,0,0,0,0,0,0,5,Low
696,0,1,0,0,0,0,1,5,Low
697,1,0,0,0,0,0,0,4,Low
698,1,1,0,0,0,0,0,3,Low
699,0,1,0,0,0,0,0,4,Low
700,0,1,0,0,0,0,0,5,Low
701,1,0,1,0,0,0,0,4,Low
702,0,0,0,0,0,0,0,3,High
703,0,1,0,0,0,0,1,5,High
704,1,0,0,0,0,0,1,5,Low
705,0,1,0,0,0,0,1,5,Low
706,1,0,0,0,0,0,1,5,High
707,0,0,0,0,0,0,0,4,High
708,0,0,0,0,0,0,0,4,Low
709,1,1,1,0,0,0,1,4,Low
710,0,0,0,0,0,0,1,5,High
711,1,1,0,0,0,0,0,5,Low
712,1,1,0,0,0,0,1,5,Low
713,0,1,1,0,0,0,0,4,High
714,0,1,0,0,0,0,1,4,High
715,0,1,1,0,0,0,0,4,High
716,1,0,0,0,0,0,1,5,Low
717,0,1,0,0,0,0,0,5,Low
718,1,0,1,0,0,0,1,5,Low
719,0,0,0,1,0,0,0,5,Low
720,1,0,0,0,0,0,1,5,Low
721,0,1,0,0,0,0,1,5,Low
722,0,0,0,0,0,0,1,5,High
723,1,0,0,0,0,0,1,5,Low
724,0,0,0,0,0,0,1,5,Low
725,0,0,0,1,0,0,1,5,Low
726,0,1,1,0,0,0,1,4,Low
727,0,0,1,0,0,0,0,4,Low
728,1,0,0,0,0,1,0,3,High
729,0,1,0,0,0,0,0,4,Low
730,0,0,0,0,0,0,0,5,Low
731,0,1,0,0,0,0,1,5,Low
732,0,0,0,0,0,0,1,5,High
733,0,1,0,0,0,0,1,5,High
734,1,0,1,0,0,0,1,4,High
735,0,0,0,0,0,0,0,4,Low
736,0,0,1,0,0,0,0,5,High
737,0,1,1,0,0,0,0,4,High
738,0,0,0,0,0,0,0,5,Low
739,1,1,1,0,0,0,0,4,Low
740,1,1,1,0,0,0,0,4,Low
741,0,1,1,0,0,0,1,4,Low
742,0,0,0,0,0,0,1,5,Low
743,0,0,0,0,0,0,0,4,Low
744,0,0,0,0,0,0,1,5,High
745,0,0,1,0,0,0,0,5,High
746,0,0,1,0,0,0,0,4,High
747,0,1,1,0,0,0,1,4,Low
748,0,0,0,0,0,0,0,4,High
749,0,1,0,0,0,0,0,5,Low
750,1,0,0,0,0,0,1,5,Low
751,1,1,1,0,0,1,0,3,Low
752,1,0,0,0,0,1,1,5,Low
753,1,0,0,0,0,0,0,5,High
754,1,0,1,0,0,0,1,5,High
755,1,1,1,0,0,0,1,5,Low
756,0,1,0,0,0,0,1,4,Low
757,0,1,0,0,0,0,0,4,Low
758,0,0,0,0,0,0,0,4,Low
759,0,0,1,0,0,0,0,5,High
760,1,0,0,0,0,0,0,3,Low
761,0,1,0,0,0,0,0,3,Low
762,1,0,0,0,0,0,1,3,Low
763,0,0,0,0,0,0,1,3,Low
764,0,0,1,0,0,0,1,5,High
765,0,0,0,0,0,0,0,4,High
766,0,1,0,0,0,0,0,5,Low
767,1,0,0,0,0,0,0,3,High
768,0,0,0,0,0,0,1,5,Low
769,1,0,0,0,0,0,0,5,Low
770,0,0,0,0,0,0,0,5,Low
771,0,0,0,0,0,0,0,5,Low
772,0,0,0,0,0,0,0,5,Low
773,1,0,0,0,0,0,0,5,Low
774,1,0,0,0,0,0,0,5,Low
775,0,1,1,0,0,0,0,4,Low
776,1,0,0,0,0,0,0,3,Low
777,1,0,0,0,0,0,0,5,High
778,0,0,0,0,0,0,0,5,High
779,0,0,0,0,0,0,0,5,Low
780,1,0,1,0,0,1,0,4,Low
781,1,0,1,0,0,0,0,3,High
782,1,1,0,1,0,0,1,5,Low
783,0,1,0,0,0,0,1,4,High
784,0,1,0,0,0,0,1,4,Low
785,0,0,1,1,0,0,0,5,Low
786,1,0,0,0,1,0,0,4,Low
787,1,0,0,0,0,0,0,5,Low
788,1,1,0,0,0,0,1,5,Low
789,0,1,0,0,0,0,1,4,Low
790,1,0,0,0,0,0,1,5,High
791,0,0,0,0,0,0,0,4,High
792,0,1,0,0,0,0,1,4,Low
793,0,0,0,0,0,0,0,5,Low
794,0,0,1,0,0,0,0,4,Low
795,1,0,1,0,0,0,0,5,Low
796,0,1,0,0,0,0,0,5,High
797,1,0,0,0,0,0,0,5,Low
798,0,0,0,0,0,0,0,5,Low
799,1,0,0,1,0,0,0,5,High
800,0,0,0,0,0,0,0,4,Low
801,1,0,0,1,0,0,1,5,Low
802,1,1,0,1,0,0,1,3,Low
803,0,0,0,0,0,0,1,5,Low
804,0,1,0,0,0,0,0,4,Low
805,0,0,0,0,0,0,0,5,Low
806,0,0,0,1,0,0,1,5,Low
807,0,1,0,0,0,0,0,3,Low
808,0,1,0,1,0,0,1,5,High
809,0,1,0,0,0,0,0,4,Low
810,0,0,0,0,0,0,0,5,Low
811,0,0,0,1,0,0,0,4,High
812,0,0,0,0,0,0,0,5,Low
813,0,0,0,0,0,0,0,5,Low
814,0,1,0,0,0,0,0,4,Low
815,0,0,0,0,0,0,1,5,High
816,0,0,0,0,0,0,0,5,High
817,0,0,0,1,0,0,1,5,High
818,0,0,1,0,0,0,1,3,Low
819,1,0,0,0,0,0,1,3,Low
820,1,0,0,0,0,0,0,3,Low
821,0,0,0,0,0,0,0,5,Low
822,1,1,0,0,0,0,0,3,Low
823,1,0,0,0,0,0,0,4,High
824,0,0,0,0,0,0,1,5,High
825,1,1,1,0,0,0,0,4,Low
826,0,0,0,1,0,0,1,4,Low
827,1,1,0,0,0,0,1,3,Low
828,1,0,1,0,0,1,0,4,High
829,0,0,0,0,0,0,0,5,High
830,0,0,0,0,0,0,0,5,Low
831,0,0,0,0,0,1,0,5,Low
832,0,0,0,0,0,0,0,3,High
833,1,1,0,0,0,0,0,3,Low
834,0,1,0,0,0,0,0,3,Low
835,0,1,1,0,0,0,0,4,Low
836,0,0,0,0,0,0,0,5,High
837,1,1,0,0,0,0,1,3,Low
838,0,1,0,0,0,0,0,3,High
839,1,1,0,0,0,0,0,3,Low
840,0,0,1,0,0,0,1,5,Low
841,0,1,0,0,0,0,1,5,Low
842,0,0,0,0,0,0,0,4,High
843,0,0,0,0,0,0,1,5,Low
844,0,0,0,0,0,0,0,4,Low
845,0,0,0,0,0,0,0,5,Low
846,0,0,0,0,0,0,0,3,Low
847,0,0,0,0,0,0,0,5,High
848,0,0,0,0,1,0,0,4,High
849,0,0,0,0,0,0,0,4,Low
850,0,1,0,0,0,0,0,3,High
851,0,0,0,0,0,0,0,5,Low
852,0,0,0,0,0,0,0,4,High
853,0,0,0,0,0,0,0,5,Low
854,0,0,0,0,0,0,0,5,Low
855,0,0,0,0,0,0,0,4,Low
856,0,0,0,0,0,0,1,5,Low
857,1,1,0,0,0,0,1,5,Low
858,0,1,0,0,0,0,0,2,High
859,1,0,0,0,0,0,0,4,High
860,0,0,0,1,0,0,1,4,High
861,0,0,1,0,0,0,0,4,Low
862,0,0,0,0,0,0,0,5,Low
863,0,0,0,0,0,0,1,5,Low
864,1,0,0,0,0,0,0,5,High
865,0,0,0,1,0,0,1,5,High
