facility_id,inspection_date,inspection_score,rating,total_ratings
FA0001543,2017-03-02,80,4.5,323
FA0002027,2018-09-28,0,4.5,1160
FA0002162,2019-03-15,35,4.1,174
FA0001624,2018-02-14,0,4.3,628
FA0003535,2019-02-14,50,4.3,578
FA0002527,2018-11-05,30,4.5,125
FA0004954,2016-07-22,3,4.6,2226
FA0000582,2016-04-28,89,4.6,573
FA0004976,2018-07-05,35,3.7,114
FA0000841,2018-03-09,0,3.4,1062
FA0004647,2014-12-10,15,4.4,729
FA0002383,2013-10-08,102,4.6,134
FA0001641,2017-01-10,10,4.1,299
FA0000673,2014-01-16,25,3.7,178
FA0000414,2018-02-16,65,4.7,87
FA0004497,2017-12-20,60,4.1,469
FA0003769,2015-01-15,25,4.1,920
FA0000973,2015-02-05,10,3.8,111
FA0002497,2016-02-17,2,4,83
FA0003813,2013-02-22,0,4.8,354
FA0002863,2019-01-03,0,4.4,454
FA0001234,2015-01-06,2,4.2,101
FA0002699,2017-03-02,100,4.2,246
FA0000872,2014-08-18,31,4,194
FA0000421,2017-04-18,15,4.4,158
FA0004518,2019-12-09,5,4.5,437
FA0002021,2013-11-21,0,4.6,1321
FA0002873,2019-10-16,25,4.5,186
FA0000391,2019-05-14,45,4.2,229
FA0000360,2016-07-19,26,4.5,281
FA0002869,2016-05-09,0,3.6,340
FA0000898,2019-01-22,65,4.3,113
FA0001243,2016-08-24,25,4.5,488
FA0002629,2014-06-17,15,4.3,67
FA0004498,2013-11-14,21,3.9,114
FA0001322,2014-05-06,45,4.3,128
FA0001514,2016-10-11,2,4,392
FA0002027,2014-09-13,40,4.5,1160
FA0004851,2016-09-12,11,4.8,144
FA0003785,2017-02-23,35,4.1,223
FA0002991,2016-09-13,30,3.4,167
FA0000996,2013-09-19,20,4.6,615
FA0001126,2019-02-21,45,4.8,64
FA0000165,2015-09-14,41,4.4,1289
FA0001414,2013-07-24,15,4.6,1195
FA0003837,2018-05-08,3,4.3,1039
FA0001299,2017-04-11,25,4.4,333
FA0005097,2019-03-20,0,4.5,68
FA0001355,2019-10-28,10,4,93
FA0003512,2018-12-19,30,3.9,138
FA0003621,2016-06-17,10,4.3,659
FA0000654,2015-01-12,25,4.1,621
FA0000200,2019-07-17,70,4.6,2995
FA0000010,2017-05-16,38,4.7,937
FA0004638,2019-08-08,10,4.6,1364
FA0000234,2019-02-06,20,4.5,355
FA0000798,2014-05-13,21,4.4,1328
FA0002661,2016-07-12,20,4.1,367
FA0002393,2013-07-19,5,3.8,44
FA0002294,2014-03-26,55,4.1,217
FA0001643,2014-06-17,15,4.2,232
FA0004967,2018-05-22,68,4.7,59
FA0003606,2019-10-03,25,4.6,1181
FA0000976,2018-03-19,25,4.3,229
FA0004635,2018-09-19,15,4.7,1066
FA0001786,2014-08-01,55,4.3,2134
FA0001642,2019-03-15,0,3.3,27
FA0005101,2019-11-07,0,4.9,317
FA0000642,2014-10-07,31,3.5,1088
FA0000407,2014-06-24,10,3,523
FA0000654,2017-11-30,40,4.1,621
FA0001004,2018-05-21,115,4.3,363
FA0003807,2016-06-29,5,4.8,189
FA0000064,2015-03-09,2,4.2,295
FA0002689,2019-10-15,10,4.7,154
FA0004960,2016-08-22,18,4.4,1541
FA0002750,2014-11-20,96,4.2,107
FA0001335,2017-04-03,35,4.5,246
FA0000402,2018-07-12,20,4.6,547
FA0001269,2014-01-17,17,3.7,332
FA0001350,2013-06-21,10,4.9,60
FA0004872,2016-04-08,5,4.7,246
FA0005280,2018-06-22,1,3.2,647
FA0002481,2015-02-20,60,4.2,207
FA0000731,2017-04-06,20,4.4,1032
FA0004691,2015-07-30,5,4.3,706
FA0004908,2016-06-30,5,4.2,603
FA0003801,2013-05-30,18,4.6,328
FA0003807,2017-11-01,10,4.8,189
FA0000251,2019-08-06,40,4.6,914
FA0000526,2014-05-28,23,4.6,1605
FA0000997,2013-01-15,15,4.2,263
FA0005539,2019-10-21,0,4.8,669
FA0001309,2017-09-11,30,4.4,627
FA0002699,2018-11-27,30,4.2,246
FA0000088,2013-08-23,105,4.5,59
FA0000790,2017-07-18,60,4.2,419
FA0005100,2017-09-26,25,4.5,79
FA0001014,2018-06-21,25,4.7,1147
FA0000680,2019-02-22,0,4.4,763
FA0001192,2019-07-18,55,4.3,337
FA0000879,2014-04-18,23,4,720
FA0001005,2016-03-21,5,4.6,1231
FA0002371,2016-01-06,20,4.1,234
FA0002670,2019-06-11,10,4,38
FA0003621,2014-12-18,3,4.3,659
FA0002027,2013-11-21,0,4.5,1160
FA0000544,2019-04-22,35,4.3,298
FA0000961,2019-06-19,85,4.2,894
FA0002171,2019-07-19,35,4,131
FA0000599,2018-12-04,0,4.3,1799
FA0002245,2019-12-13,0,4.6,361
FA0001003,2016-05-04,10,3.2,246
FA0000677,2019-02-20,60,4.2,297
FA0002527,2014-06-09,5,4.5,125
FA0000084,2014-07-17,0,4.1,684
FA0001091,2014-06-27,10,3.9,896
FA0000113,2014-12-15,6,2.8,404
FA0002658,2018-11-08,30,4.5,214
FA0005384,2019-01-25,55,4.8,464
FA0001269,2016-05-26,15,3.7,332
FA0002790,2019-06-19,45,4,164
FA0005066,2019-01-03,5,4.5,340
FA0000365,2017-05-11,10,3.8,709
FA0001257,2014-07-03,11,4.4,314
FA0001074,2015-09-08,15,4.5,903
FA0003265,2019-07-08,0,4.3,242
FA0003521,2017-11-01,31,2.7,143
FA0000843,2018-02-26,18,3.4,706
FA0001514,2019-07-08,10,4,392
FA0001585,2018-06-13,100,4.7,378
FA0002152,2016-05-19,65,3.9,224
FA0004515,2016-11-02,7,4.2,54
FA0000538,2017-06-20,10,4.4,457
FA0000667,2013-08-02,50,4.6,68
FA0000843,2014-05-28,15,3.4,706
FA0000124,2016-01-21,7,4.6,58
FA0000210,2014-10-21,70,4.4,281
FA0001084,2013-06-25,30,4.5,2034
FA0001253,2014-08-11,21,4.1,1241
FA0004789,2016-10-10,0,4.7,422
FA0003305,2018-06-20,10,4.4,1915
FA0001786,2015-05-26,55,4.3,2134
FA0000678,2017-03-09,35,4.2,351
FA0000279,2014-07-22,14,3.1,1009
FA0000372,2013-09-04,30,4.6,603
FA0000743,2013-09-20,0,4.6,178
FA0003318,2014-03-21,45,4.5,214
FA0004507,2018-05-23,25,4.6,126
FA0004964,2016-10-19,73,4.1,336
FA0000365,2017-11-09,10,3.8,709
FA0002371,2018-10-30,30,4.1,234
FA0001403,2014-12-11,0,4.5,655
FA0000279,2019-04-05,0,3.1,1009
FA0005030,2017-05-12,21,4.3,90
FA0000210,2018-11-13,60,4.4,281
FA0001272,2014-06-18,0,4.3,354
FA0003317,2017-03-31,11,4.5,317
FA0000830,2017-05-19,25,4.5,821
FA0001631,2013-09-27,20,3.6,390
FA0001515,2019-12-13,5,4.3,137
FA0000728,2014-04-03,20,4.4,124
FA0000347,2015-08-03,4,4.7,471
FA0001237,2017-03-28,35,4.5,523
FA0000447,2017-04-20,125,3.6,11
FA0005299,2018-08-15,1,4.2,21
FA0004910,2016-06-10,20,4,376
FA0000818,2014-01-29,71,4.2,170
FA0001261,2015-11-12,0,4.7,139
FA0003510,2017-07-13,45,4.6,746
FA0000106,2018-03-07,25,4.3,345
FA0002745,2019-11-25,20,4.4,146
FA0004982,2016-09-29,37,4.2,324
FA0004837,2018-01-30,55,4.2,1184
FA0005003,2017-05-31,72,4.6,929
FA0002857,2016-05-10,0,4.3,82
FA0000970,2016-04-12,75,4.4,299
FA0002513,2014-09-08,0,2.9,189
FA0000257,2017-06-20,20,3.8,125
FA0001198,2017-03-02,25,3.8,586
FA0000295,2015-02-06,21,3.4,70
FA0000847,2017-03-24,0,3,523
FA0002484,2013-01-08,45,3.4,245
FA0000346,2016-06-29,15,4.3,499
FA0001183,2013-11-12,17,4.7,878
FA0001290,2014-08-19,36,4.6,117
FA0000075,2014-02-14,31,4.5,171
FA0001243,2015-08-11,34,4.5,488
FA0001186,2017-03-27,3,3.5,778
FA0000364,2016-02-03,20,4.2,817
FA0004526,2014-04-01,21,4,518
FA0004696,2019-01-17,15,4.5,2
FA0000882,2017-04-08,0,4.4,515
FA0005226,2019-05-23,5,4.4,1576
FA0001149,2016-04-20,55,4.2,608
FA0005472,2019-10-28,10,4.5,177
FA0001175,2017-03-15,33,4.7,270
FA0000242,2016-03-04,40,4,2
FA0004848,2019-03-14,30,4.3,906
FA0002484,2017-07-11,37,3.4,245
FA0000494,2016-06-29,20,4.3,178
FA0000800,2017-09-20,70,4.5,119
FA0001623,2013-02-19,52,4.5,237
FA0004975,2016-09-12,40,4.6,523
FA0000451,2015-01-16,10,4.8,1766
FA0000642,2017-04-18,10,3.5,1088
FA0002815,2014-03-04,75,4.3,361
FA0000067,2016-05-20,60,4.6,2491
FA0002828,2017-04-18,10,3.3,543
FA0005455,2019-07-11,0,4.8,5
FA0004941,2018-12-18,30,4.4,623
FA0000923,2013-06-12,5,4.1,323
FA0000808,2016-03-03,5,3.4,27
FA0000783,2017-06-20,20,4.4,798
FA0000758,2014-01-15,0,3.7,432
FA0000535,2017-07-17,22,4.3,297
FA0000402,2014-05-29,35,4.6,547
FA0002591,2018-01-30,0,4.5,57
FA0000112,2019-06-18,0,3,276
FA0000782,2017-05-06,20,4.3,183
FA0001249,2014-04-24,40,4.5,178
FA0002356,2014-12-10,25,4.2,275
FA0000834,2013-04-17,65,4.5,121
FA0002436,2016-10-31,31,4.2,650
FA0002676,2014-06-10,35,4.2,414
FA0001408,2014-04-25,35,4.7,12
FA0000346,2017-11-01,35,4.3,499
FA0000386,2017-03-10,30,4.3,138
FA0001662,2016-02-17,0,4.5,1019
FA0000863,2014-04-07,78,4.2,571
FA0002631,2014-04-30,15,4.5,550
FA0005236,2018-05-18,0,3.8,427
FA0004853,2019-04-03,60,4.5,315
FA0003408,2018-06-20,30,4.3,452
FA0003545,2016-08-26,20,4.4,194
FA0000826,2018-07-20,28,3.1,1405
FA0000731,2015-03-31,3,4.4,1032
FA0000487,2017-08-18,5,4.4,144
FA0002979,2019-10-21,25,3.7,68
FA0004663,2017-10-30,5,4,46
FA0001638,2018-11-15,65,4.4,1041
FA0000941,2018-03-22,10,4.4,475
FA0003813,2016-01-28,15,4.8,354
FA0000181,2016-03-30,35,4.1,1074
FA0000886,2013-09-20,0,4.4,509
FA0000293,2019-03-27,95,4.6,394
FA0000257,2013-03-05,30,3.8,125
FA0002839,2018-09-04,10,4.6,310
FA0000089,2014-03-20,75,4.3,275
FA0000331,2016-05-04,60,4.3,1008
FA0001005,2019-06-05,45,4.6,1231
FA0002506,2013-07-26,37,4.7,951
FA0000333,2017-08-18,55,4.7,435
FA0000535,2015-02-23,17,4.3,297
FA0002680,2014-05-08,0,4.1,872
FA0000098,2016-05-19,45,3.7,192
FA0000339,2013-06-12,41,4.5,1071
FA0000093,2017-05-11,73,4.2,698
FA0003244,2017-06-30,20,4.4,439
FA0004975,2019-07-15,15,4.6,523
FA0001257,2016-08-03,23,4.4,314
FA0000674,2018-04-13,36,4.2,414
FA0000724,2016-08-17,25,4.3,277
FA0000808,2015-10-02,13,3.4,27
FA0001166,2013-01-24,67,3.5,78
FA0001240,2015-01-22,28,4.7,165
FA0000538,2016-10-04,10,4.4,457
FA0000140,2017-09-15,47,4.8,485
FA0000951,2014-03-13,31,4.4,1062
FA0000803,2015-09-22,25,3.7,152
FA0004669,2019-04-18,45,4.3,128
FA0000449,2017-03-13,69,4.3,101
FA0000661,2017-08-29,10,5,26
FA0002677,2017-08-14,10,4.3,464
FA0001204,2016-04-14,35,3.9,117
FA0001375,2018-12-27,59,4.7,176
FA0002339,2018-08-14,125,4.3,352
FA0004787,2019-12-17,10,4.5,786
FA0000372,2016-11-16,85,4.6,603
FA0001022,2013-09-24,15,3.3,1498
FA0003680,2018-05-17,23,4.4,171
FA0001631,2016-02-04,20,3.6,390
FA0004839,2018-02-14,21,4.3,1588
FA0003337,2015-01-13,20,3.7,436
FA0001088,2015-07-28,60,4.4,762
FA0000758,2015-06-23,7,3.7,432
FA0000343,2014-11-10,15,3.7,96
FA0000336,2015-11-10,95,4.5,300
FA0001429,2014-03-28,79,4.3,157
FA0003850,2016-04-06,20,4.3,243
FA0001333,2014-05-22,20,4.2,1235
FA0004625,2016-08-23,31,4.9,22
FA0005182,2017-11-01,25,4.6,402
FA0002434,2016-12-16,58,3.9,408
FA0001347,2016-08-29,60,4.5,600
FA0005172,2019-06-18,10,4.3,416
FA0000840,2018-02-09,10,2.9,618
FA0002331,2014-08-04,26,4.4,1062
FA0002021,2016-10-15,10,4.6,1321
FA0001167,2014-02-19,0,4.1,67
FA0000972,2013-08-21,77,4.7,254
FA0000245,2019-02-20,15,4.8,1421
FA0002680,2018-01-31,10,4.1,872
FA0003801,2015-07-29,0,4.6,328
FA0003742,2015-10-07,0,4.2,197
FA0002133,2019-11-14,0,4.6,536
FA0000574,2018-09-14,70,4.2,159
FA0000614,2016-03-15,16,4.5,1124
FA0000124,2015-03-09,35,4.6,58
FA0000278,2017-03-29,15,4.3,1185
FA0003851,2015-05-16,0,4.2,419
FA0001355,2016-01-21,56,4,93
FA0005008,2016-11-17,15,4.2,297
FA0005195,2018-03-12,37,4.3,101
FA0001638,2017-07-19,76,4.4,1041
FA0002419,2015-11-03,62,4.2,178
FA0001114,2013-12-09,23,4.6,599
FA0000245,2017-07-27,35,4.8,1421
FA0001260,2019-05-30,0,5,2
FA0002863,2019-09-04,0,4.4,454
FA0000225,2016-03-30,25,4.6,206
FA0000696,2018-09-13,3,4.5,513
FA0003890,2013-11-27,22,4.3,291
FA0002492,2017-11-08,30,4.6,380
FA0004843,2016-02-09,13,4.6,355
FA0003787,2017-07-19,10,4,98
FA0005440,2019-10-01,25,4.8,486
FA0000947,2018-11-01,36,4.6,810
FA0001195,2016-07-18,10,4.2,89
FA0001284,2014-03-05,80,4.3,416
FA0002274,2014-06-25,40,4.2,160
FA0000624,2016-04-06,45,4.7,1101
FA0002694,2018-08-20,0,4.6,512
FA0003585,2019-08-27,20,4.6,288
FA0000783,2016-05-17,50,4.4,798
FA0003890,2016-04-15,25,4.3,291
FA0000245,2016-12-20,50,4.8,1421
FA0000840,2014-11-14,0,2.9,618
FA0002718,2018-06-28,10,4.2,5
FA0000773,2017-05-30,114,3.9,233
FA0004706,2015-06-16,25,4.6,211
FA0004651,2018-11-07,5,4.4,28
FA0000844,2018-07-06,75,4.2,77
FA0001350,2015-09-15,12,4.9,60
FA0001299,2019-10-24,25,4.4,333
FA0000063,2017-06-20,35,4.5,388
FA0002144,2019-01-22,25,4.6,834
FA0000629,2014-04-11,0,4.1,302
FA0001408,2017-03-06,85,4.7,12
FA0000678,2013-03-25,60,4.2,351
FA0005143,2017-10-10,43,3.3,223
FA0000990,2014-06-17,11,4.5,89
FA0000578,2016-02-08,10,4.2,261
FA0005267,2019-02-22,50,4,298
FA0002449,2014-08-15,5,3.8,44
FA0003704,2017-09-13,21,4.5,127
FA0001245,2014-05-06,2,4.4,169
FA0003614,2019-07-17,25,4.9,125
FA0000009,2017-05-09,45,4.9,15
FA0005072,2017-04-14,0,3.9,194
FA0003799,2015-02-23,0,4.3,39
FA0000653,2013-02-07,30,4.5,1335
FA0000240,2018-01-31,20,3.7,91
FA0002330,2015-09-09,25,4,511
FA0003821,2015-12-14,20,4.4,205
FA0001161,2016-12-22,10,3.3,103
FA0002356,2013-09-20,5,4.2,275
FA0001183,2015-01-16,42,4.7,878
FA0000351,2016-01-12,36,4,304
FA0001595,2014-04-10,0,3.4,35
FA0000947,2016-02-08,30,4.6,810
FA0001182,2015-11-04,88,4,379
FA0002658,2016-06-02,35,4.5,214
FA0002826,2013-08-27,55,4.6,355
FA0001036,2013-07-18,15,4.4,445
FA0000458,2016-06-13,56,4.3,269
FA0000773,2016-04-06,125,3.9,233
FA0005208,2019-04-27,5,5,16
FA0004787,2017-06-01,36,4.5,786
FA0000653,2016-02-09,15,4.5,1335
FA0002874,2016-06-14,35,4.2,834
FA0000630,2017-01-20,15,4.4,488
FA0001663,2017-03-30,40,4.6,574
FA0002719,2013-12-30,0,4.1,189
FA0002840,2019-06-03,35,4.2,236
FA0002685,2014-04-25,0,4.1,372
FA0002868,2017-11-30,35,4.5,807
FA0001163,2014-07-09,35,4,142
FA0000164,2013-12-10,61,4.3,928
FA0000355,2015-03-23,60,4.2,209
FA0000885,2018-07-24,43,4.6,648
FA0004983,2017-09-09,10,3.8,5
FA0000697,2018-04-27,40,4.4,352
FA0004836,2019-12-13,5,3.7,197
FA0001515,2013-09-19,5,4.3,137
FA0001237,2015-07-14,40,4.5,523
FA0002178,2016-05-16,50,4.5,566
FA0000011,2019-11-06,0,4.3,119
FA0002449,2019-02-12,25,3.8,44
FA0001215,2015-07-16,18,4.9,8
FA0002654,2019-05-07,0,4.4,847
FA0002297,2019-01-25,40,4.5,188
FA0002297,2013-09-20,0,4.5,188
FA0000486,2019-06-05,30,4.5,2352
FA0001192,2016-02-03,20,4.3,337
FA0002677,2014-01-13,50,4.3,464
FA0002210,2016-10-15,15,3.8,5
FA0000556,2015-08-18,45,4.6,2057
FA0004638,2017-08-30,40,4.6,1364
FA0000473,2013-04-03,10,4.8,267
FA0000654,2013-10-16,55,4.1,621
FA0002703,2014-06-13,25,4.2,333
FA0000743,2017-04-05,10,4.6,178
FA0000728,2017-01-12,20,4.4,124
FA0000500,2013-12-13,15,4.2,1235
FA0002653,2013-04-19,0,3.9,525
FA0003851,2014-04-19,0,4.2,419
FA0000675,2015-04-24,30,4.5,3357
FA0004691,2018-08-21,0,4.3,706
FA0002948,2014-08-04,15,4.1,348
FA0002027,2017-09-09,10,4.5,1160
FA0003472,2019-06-20,10,4.3,170
FA0000314,2013-09-20,40,4.4,382
FA0000139,2015-07-06,8,4.1,456
FA0002356,2017-02-27,60,4.2,275
FA0000030,2018-10-11,5,3.8,808
FA0001614,2014-06-10,18,4.5,876
FA0000599,2014-04-30,15,4.3,1799
FA0000592,2016-11-16,10,4.7,269
FA0000364,2017-09-14,37,4.2,817
FA0000011,2013-07-03,35,4.3,119
FA0003050,2016-06-27,50,4.1,410
FA0002143,2014-01-23,32,4.2,432
FA0000031,2019-11-22,0,3.7,622
FA0000021,2016-01-12,0,4.9,22
FA0000109,2016-02-25,0,3,612
FA0001646,2018-02-07,35,3.7,158
FA0001283,2018-07-10,17,4.8,373
FA0003034,2019-09-04,10,4.8,22
FA0004652,2019-06-03,10,4.3,284
FA0002419,2015-02-10,5,4.2,178
FA0003472,2016-10-31,10,4.3,170
FA0004907,2016-06-28,20,3.9,1070
FA0000326,2019-09-10,20,4.6,416
FA0000449,2013-01-16,95,4.3,101
FA0001380,2019-10-18,0,4.4,307
FA0000017,2019-07-30,5,4.3,109
FA0000449,2014-02-05,0,4.3,101
FA0005127,2019-11-05,20,4.9,63
FA0001244,2016-10-18,60,4.2,83
FA0002484,2014-08-15,15,3.4,245
FA0005256,2018-05-31,10,4.6,402
FA0004736,2015-07-29,26,4.3,595
FA0004766,2015-09-18,34,4.3,628
FA0001290,2013-04-16,90,4.6,117
FA0002330,2014-10-01,75,4,511
FA0005012,2016-11-28,25,4.4,279
FA0000995,2017-08-01,15,4.3,272
FA0000225,2019-04-05,0,4.6,206
FA0003470,2016-08-18,50,4.6,86
FA0000592,2013-06-11,35,4.7,269
FA0000615,2014-03-07,0,4.5,105
FA0000200,2017-08-24,80,4.6,2995
FA0003604,2017-10-03,0,4.6,1885
FA0000157,2015-07-15,43,4.1,169
FA0001060,2017-05-19,75,4.6,288
FA0002701,2014-06-12,5,4.7,717
FA0000770,2014-03-21,36,4.5,532
FA0000056,2017-08-08,10,4.5,569
FA0000942,2017-09-06,50,4.4,321
FA0000886,2016-03-09,70,4.4,509
FA0001800,2017-05-01,1,5,3
FA0005021,2017-04-11,17,4.9,164
FA0003637,2015-04-15,10,4.7,26
FA0000976,2013-08-15,106,4.3,229
FA0001429,2016-01-19,6,4.3,157
FA0002245,2017-05-08,5,4.6,361
FA0000364,2015-03-11,10,4.2,817
FA0004518,2014-03-13,25,4.5,437
FA0005308,2019-10-08,20,4.3,12
FA0001585,2013-10-30,56,4.7,378
FA0000447,2014-04-28,15,3.6,11
FA0001299,2015-07-14,28,4.4,333
FA0004996,2016-11-17,1,4.7,733
FA0005232,2018-12-14,30,4.4,534
FA0000738,2018-05-09,65,4.3,1553
FA0002612,2017-08-22,5,3.9,957
FA0000108,2013-11-13,31,4.6,266
FA0000025,2013-06-27,31,4.3,232
FA0001344,2018-09-06,63,3.4,289
FA0000672,2019-10-18,35,3.6,181
FA0004511,2017-03-22,0,4.7,181
FA0002891,2017-04-14,10,4.3,211
FA0000473,2016-03-01,35,4.8,267
FA0001614,2017-04-04,4,4.5,876
FA0003621,2019-06-14,35,4.3,659
FA0003565,2014-05-14,35,4.1,495
FA0000725,2018-03-12,65,4.3,757
FA0000365,2019-02-20,15,3.8,709
FA0001294,2015-11-03,15,4.2,622
FA0000851,2014-08-19,25,3.9,863
FA0003319,2016-05-17,50,3.7,172
FA0000109,2013-02-07,40,3,612
FA0001003,2019-03-15,5,3.2,246
FA0000396,2019-06-11,60,4.6,481
FA0000339,2018-09-05,30,4.5,1071
FA0000326,2016-06-01,50,4.6,416
FA0001202,2019-05-13,40,4.2,695
FA0001004,2016-12-22,100,4.3,363
FA0001169,2015-06-16,7,3.8,155
FA0001220,2015-01-06,15,4.2,74
FA0002441,2016-02-01,45,4.6,98
FA0005391,2019-10-08,15,4.3,183
FA0001308,2017-03-17,17,4.2,189
FA0000970,2013-12-16,3,4.4,299
FA0000092,2014-04-04,45,4.7,50
FA0003318,2016-06-07,60,4.5,214
FA0005088,2019-11-22,15,3.9,685
FA0002145,2017-03-21,15,4.7,79
FA0002274,2017-08-28,32,4.2,160
FA0000943,2017-05-05,155,4.2,667
FA0000629,2018-08-29,5,4.1,302
FA0002979,2013-12-04,15,3.7,68
FA0000476,2018-07-13,15,4.6,1392
FA0000975,2018-10-25,55,3.8,25
FA0000888,2014-06-13,0,4.3,71
FA0003784,2017-07-03,7,4.3,335
FA0002345,2014-05-22,15,4,507
FA0000018,2014-11-07,85,4.7,150
FA0004696,2017-05-03,5,4.5,2
FA0001645,2013-08-07,81,4.4,262
FA0004784,2019-04-04,20,4.5,76
FA0003464,2015-02-10,5,4.6,56
FA0001327,2014-03-03,0,4.2,295
