facility_id,cat_1,cat_2,cat_3,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_12,cat_13,cat_14,cat_15
FA0000009,1,,,1,2,,,,,1,,,
FA0000010,1,2,1,2,1,,,3,1,,,1,
FA0000011,,2,2,1,,,1,,,,,,
FA0000015,1,2,2,1,,,,1,1,1,2,,
FA0000017,1,1,,2,1,,,,,1,,,
FA0000018,3,1,2,1,,,,,,,,,
FA0000021,,,,,,,1,,,,,,
FA0000024,1,3,1,1,2,1,,2,,1,,,
FA0000025,,4,2,1,,,1,,,1,,,
FA0000026,,1,1,1,1,,2,1,,1,1,,
FA0000030,,1,,1,1,,1,,1,,,1,
FA0000031,,1,,1,1,,,,,,,,
FA0000033,1,,2,2,,,,,,1,1,,
FA0000038,,3,2,1,1,,1,2,1,1,1,2,
FA0000056,1,,,,1,,,,,,,,
FA0000057,1,1,3,1,1,,1,1,,1,1,,
FA0000061,,1,,3,1,,,,,1,,,
FA0000063,1,1,,,,,1,,,1,,,
FA0000064,1,3,2,,,,3,1,,1,,,
FA0000067,1,3,3,,,,,1,1,2,1,,
FA0000075,,,2,,1,,,,,,,1,
FA0000079,2,2,2,1,,,,1,,2,,,
FA0000084,1,,1,1,,,,1,,,,,
FA0000086,3,1,,2,3,,1,1,,,,,
FA0000088,1,,1,1,2,1,1,1,1,1,,1,
FA0000089,2,2,1,1,1,1,1,2,,2,2,3,
FA0000092,2,1,2,1,,,1,,,,,,
FA0000093,1,1,1,1,1,,,2,,1,1,1,
FA0000095,1,1,1,,1,,,,,,,,
FA0000098,1,2,2,,1,1,,1,,1,,1,
FA0000100,1,3,2,1,1,,3,,1,,,1,
FA0000105,,1,2,,,1,1,,,,,,
FA0000106,1,1,,1,,,1,1,1,,,,
FA0000108,,3,,1,,1,,1,1,,,,
FA0000109,,1,1,2,2,,,,,,,,
FA0000110,,2,,2,,,,,,,,1,
FA0000112,,1,,,,,,,,,,,
FA0000113,,1,1,1,1,1,1,1,1,,,1,
FA0000115,,,,,1,,,,,,,,
FA0000123,1,1,1,,,1,,,,1,,,
FA0000124,,2,1,,,1,2,1,,,,1,
FA0000127,,,,1,1,1,,1,,,,,
FA0000130,1,,1,1,,,1,,,,,,
FA0000132,1,2,1,1,1,,2,1,1,,1,,
FA0000133,,,2,1,,,,1,,,,,
FA0000135,3,2,,,,,1,,,,,,
FA0000139,,2,1,1,1,,,1,1,,1,2,
FA0000140,2,2,2,1,,,1,2,1,1,,1,
FA0000147,1,3,2,1,3,1,1,,,1,,1,
FA0000150,,1,1,,1,,,,,,,,
FA0000152,1,3,2,1,,,1,,,2,,,
FA0000157,,1,1,,1,,1,1,,1,,,
FA0000159,,2,2,1,1,,,1,,1,,1,
FA0000162,2,2,1,1,,,2,1,1,,,1,
FA0000164,3,3,,2,1,1,1,1,1,1,1,1,
FA0000165,,2,1,,1,,,,,1,,,
FA0000181,,2,1,,1,,2,,,,,,
FA0000182,3,3,4,1,3,,1,3,1,4,1,1,1
FA0000185,,1,2,,,,,1,,,1,1,
FA0000191,,,,2,1,1,2,2,,1,,1,
FA0000192,,2,4,1,3,1,3,,1,2,1,1,1
FA0000193,1,1,1,,1,,,,,,,,
FA0000200,5,3,5,,1,,,1,,,,,
FA0000210,1,2,3,1,3,,1,1,1,2,,,
FA0000225,1,,1,1,2,,1,,,,,,
FA0000230,,3,1,,2,,1,,1,,,,
FA0000233,2,1,,,,2,1,1,,1,,,
FA0000234,,2,2,2,2,,2,1,1,,,1,
FA0000237,,2,2,2,2,,3,2,2,3,1,3,
FA0000238,1,1,2,1,3,1,2,,,1,1,,
FA0000240,,2,2,2,,,1,1,,,,1,
FA0000242,,1,2,1,1,,1,,1,,,,
FA0000245,2,2,3,,1,,,,,1,,,
FA0000247,3,2,1,,,,1,1,,1,,,1
FA0000251,1,3,3,1,1,1,1,1,1,2,1,1,
FA0000252,1,1,1,1,1,,,,,1,,,
FA0000253,1,2,3,,,,1,,1,1,,,
FA0000256,1,1,1,1,,,1,1,,2,,,
FA0000257,1,7,2,2,3,,2,,1,2,,,
FA0000258,1,2,2,,1,1,,,,1,,,
FA0000278,,2,3,,,,,,,,,,
FA0000279,,2,,,,,,,,1,1,1,
FA0000281,,3,3,1,2,,1,,,2,1,,
FA0000288,1,2,1,1,2,,,1,1,1,,1,
FA0000291,1,,1,,,,,,1,1,,1,
FA0000293,1,3,2,,2,,2,,,,1,,
FA0000295,,,1,,2,,,1,,,,,
FA0000303,,1,1,,1,,,,,1,,,
FA0000304,,1,1,2,1,,,,,2,,,
FA0000314,2,3,3,2,,,3,1,1,2,,2,
FA0000326,,3,,1,2,,1,,,,,,
FA0000327,,2,,1,2,1,1,,,,,,
FA0000329,,,,,1,,,,,,,,
FA0000330,,,,,1,,,,,1,,,
FA0000331,3,3,4,1,3,1,1,1,1,1,,1,
FA0000332,2,2,2,,,,,,,,,,
FA0000333,,1,2,1,,,,1,,2,1,1,
FA0000335,,1,,,2,,,,,,,,
FA0000336,1,1,2,1,2,,1,,,1,,,
FA0000337,1,,1,,,,,,,,,,
FA0000339,,3,1,1,,1,1,1,,,,,
FA0000340,,1,1,,,,,1,,1,,,
FA0000342,1,2,2,3,1,1,1,2,1,,,1,
FA0000343,,,,2,1,,,,,,,,
FA0000346,,4,1,,1,,1,,1,1,1,,
FA0000347,,3,2,1,,,,2,,3,,1,
FA0000350,,4,1,3,,,1,,,2,,,
FA0000351,,2,1,2,,,1,,,,,1,
FA0000355,1,3,2,,2,,1,,,1,,,
FA0000356,,1,2,,,,1,1,,,,,
FA0000359,2,2,1,3,1,,1,2,,1,,1,1
FA0000360,,,1,,,,2,1,,1,,1,
FA0000364,1,2,1,,,,2,1,,,,,
FA0000365,1,5,3,,2,,3,1,1,,,1,
FA0000371,,1,2,1,3,1,,1,,,,,
FA0000372,2,2,1,1,1,,1,,,,,,
FA0000375,,1,1,,,,,,1,,,1,
FA0000378,,1,1,,,,,,,,,,
FA0000384,,,2,1,,,,1,1,,,,
FA0000386,,3,,1,1,1,,,1,2,,1,
FA0000387,1,4,2,,2,,2,1,1,,,1,
FA0000389,2,1,3,,1,,,,1,,,1,
FA0000390,,2,2,,1,,,,,,,,
FA0000391,,2,1,,,,,3,,2,,2,
FA0000392,,2,1,,1,,1,,,,,,
FA0000394,,,,1,1,,,,,1,,1,
FA0000396,3,2,2,,1,,,2,1,,,1,
FA0000399,1,1,,1,,,1,,,1,,,
FA0000401,1,1,2,1,1,,1,2,2,2,1,2,
FA0000402,,1,1,1,,1,,,,1,,,
FA0000406,,3,1,2,1,,,,1,1,,,
FA0000407,1,1,1,,1,,,,,1,,,
FA0000411,3,2,2,,2,,1,1,,,,,
FA0000414,2,3,2,1,,,2,,,,,,
FA0000416,2,2,3,2,3,,1,,,,,,
FA0000418,1,2,1,,1,,,,1,,,,
FA0000421,1,1,3,1,2,1,,,,,,,
FA0000432,1,,,1,,,,1,,2,,,
FA0000435,3,5,4,3,2,,2,1,1,1,1,1,
FA0000436,1,2,,2,1,,,,,1,,,
FA0000442,1,,2,,,,,1,,,,1,
FA0000443,3,4,2,1,1,,1,,,,,,
FA0000445,1,4,5,4,3,,,,,,,,
FA0000447,1,2,3,1,,,1,,,2,,1,
FA0000449,,2,1,,2,,1,,1,1,1,,
FA0000451,,1,1,,,,,,,1,,,
FA0000455,1,3,3,,,1,1,1,,,,1,
FA0000456,,1,2,,,,,1,,1,1,1,
FA0000457,,1,1,,,,,,,1,,,
FA0000458,5,5,4,3,7,,2,1,,1,,1,
FA0000462,,2,2,2,2,,,1,1,3,,1,
FA0000466,,3,2,3,2,1,2,1,1,2,1,1,1
FA0000467,1,3,,,1,,,,,,,,
FA0000473,1,2,2,,,1,,1,,,,,
FA0000474,2,4,2,1,1,,1,1,1,1,,1,
FA0000476,,1,2,,1,,2,,,1,,,
FA0000481,1,,,1,,,,,,1,,,
FA0000484,2,3,1,,,,1,,1,1,,1,
FA0000486,3,3,2,1,,,1,1,1,,1,1,
FA0000487,,1,,1,2,,1,1,1,1,,1,
FA0000493,2,5,4,3,,,1,,1,2,,1,
FA0000494,1,3,1,1,1,,2,,1,1,,1,
FA0000500,1,,1,1,,,,,,,,,
FA0000502,1,2,1,,1,1,2,,,,,,
FA0000511,,1,,,,,,,,,,,
FA0000515,2,2,1,,,1,1,1,1,,,,
FA0000522,1,2,1,,,,1,,,1,,,
FA0000526,1,2,1,2,1,1,1,1,,2,,,
FA0000534,2,3,2,,1,1,2,1,1,1,,1,
FA0000535,,2,1,,2,,1,1,1,2,,,
FA0000536,,2,1,1,,,1,,,2,1,,
FA0000538,,2,,,,,,,,1,,,
FA0000541,,1,,2,2,,,,,1,,,
FA0000544,1,3,,,1,1,,,,,,,
FA0000545,1,3,,1,1,1,1,,,,,,
FA0000547,,1,2,,1,,1,1,1,2,1,1,1
FA0000556,,,2,,1,,,,,1,,,
FA0000558,,,2,,,,,,,,,,
FA0000567,,,,,,,1,,,2,,,
FA0000572,2,1,1,,,,1,1,,1,,,
FA0000574,1,3,1,,,1,,,1,,,,
FA0000578,2,1,3,1,2,1,2,1,,,,1,
FA0000579,,1,,1,,,,,,,,,
FA0000580,,,2,,2,1,2,,,,,,
FA0000582,2,4,3,1,2,2,1,1,2,,,1,
FA0000587,2,1,2,,3,2,,2,1,,,2,
FA0000590,,6,5,1,2,,4,1,,2,1,,
FA0000592,2,2,2,1,,1,2,1,,1,,,
FA0000594,1,,2,2,2,,2,,1,,,,
FA0000599,,2,,,2,,,,,,,,
FA0000603,2,3,2,2,1,,1,,,,,,
FA0000605,,2,,,1,,1,,,2,,,
FA0000611,1,1,2,,2,1,3,2,,3,,2,
FA0000613,2,3,1,,1,,1,,,,,,
FA0000614,,1,1,1,,,,1,,,1,,
FA0000615,1,2,3,1,,,1,2,,1,2,2,
FA0000616,1,2,1,1,1,,,,,,,,
FA0000621,,1,1,1,1,,,,,,,,
FA0000624,3,3,3,1,3,1,1,,,,,,
FA0000627,3,3,3,2,1,1,2,2,1,2,,,
FA0000628,2,2,4,,1,,1,1,,,,,
FA0000629,,,,,1,,,,,,,,
FA0000630,,3,2,,,,1,,,1,,,
FA0000633,,1,,2,,,,,1,1,,,
FA0000639,,1,2,,1,,1,,,,,,
FA0000642,,,,3,1,,1,,,,1,,
FA0000644,,1,2,2,3,,1,,,1,,,
FA0000649,,1,2,,2,,,2,,,,,
FA0000653,,1,2,2,,,1,,,,,,
FA0000654,4,5,3,5,5,1,2,2,,,,1,
FA0000655,,3,3,,,,,,,,,,
FA0000656,,3,4,1,2,,2,1,1,2,2,1,
FA0000657,,2,,,,,,,,,,,
FA0000658,1,1,2,,1,,,,,,,,
FA0000659,,1,1,,1,,,,,1,,,
FA0000660,1,2,3,1,1,,2,2,,2,1,2,
FA0000661,,1,2,,,,1,,,1,,,
FA0000665,,,1,,,1,,,1,,,1,
FA0000666,1,3,1,1,,,1,,,,,,
FA0000667,1,1,3,1,1,,2,,1,2,1,,
FA0000672,,4,,,1,,2,1,,,,,
FA0000673,,,1,1,,,1,1,1,1,,,
FA0000674,2,3,1,1,,,2,,,,1,,
FA0000675,,2,2,,1,,,,,1,,,
FA0000677,2,3,1,1,,2,1,2,,1,1,1,
FA0000678,,1,2,1,1,,,,,1,,,
FA0000679,,1,2,1,,,1,,,2,,,
FA0000680,1,,,1,1,,,,,,,,
FA0000682,1,2,3,2,3,,1,1,,,,,
FA0000684,,3,4,2,,,,,,,1,,
FA0000685,1,2,,,,,1,1,,1,,,
FA0000688,1,2,1,,,,,,,1,,,
FA0000694,1,1,,1,,,,1,,,,,
FA0000696,,1,,,1,,,1,,,,,
FA0000697,2,2,2,,,,1,,,,,,
FA0000713,1,2,1,,1,,1,,,,,,
FA0000714,1,1,,,,,1,,,,,,
FA0000720,1,2,1,1,2,1,1,,,1,1,,
FA0000721,1,1,1,1,1,,1,2,1,1,1,,
FA0000724,1,1,1,,,,,,,,,,
FA0000725,1,2,1,1,1,,,1,,1,1,1,
FA0000728,,1,,,,1,3,,,3,,,
FA0000731,1,2,,,,,1,1,,,,1,
FA0000737,,,1,,,,,1,,,,1,
FA0000738,2,4,5,3,4,,,,,1,,,
FA0000743,,,1,,1,,1,,,,,,
FA0000747,1,1,1,,2,,,1,1,1,1,,
FA0000748,1,2,1,2,,,1,,,,,,
FA0000751,,2,,1,1,,1,,,1,,,
FA0000754,1,2,2,,1,,1,,,,1,1,
FA0000758,1,3,1,1,,,1,2,,,,1,
FA0000759,,,,1,,1,1,,,,,,
FA0000770,1,2,3,,1,,,,,1,,,
FA0000773,3,4,4,2,2,1,,2,,1,2,,
FA0000780,2,1,,1,,,1,1,1,1,1,1,
FA0000782,2,3,2,,,,2,1,1,1,1,2,
FA0000783,,3,3,,,,,,,,,,
FA0000785,1,1,2,2,2,,,,1,,2,2,
FA0000790,1,2,2,1,1,,,1,,,1,,
FA0000794,2,2,2,,,,,,1,1,,1,
FA0000798,2,4,3,1,5,2,3,2,1,3,1,,
FA0000800,1,,3,2,2,,1,,2,1,,2,
FA0000801,1,1,1,2,2,,,1,,1,,,
FA0000803,,3,2,,2,,,,,1,,1,
FA0000805,1,2,2,,1,,,,1,2,1,,
FA0000808,,1,2,,1,,,1,,1,1,,
FA0000818,2,5,4,1,3,1,3,2,1,3,1,1,
FA0000821,,,,1,,,,,,,,,
FA0000826,,3,3,2,3,1,1,,2,1,,2,
FA0000829,,2,,,,,2,,,,,,
FA0000830,1,1,,1,1,,,,,,,,
FA0000831,2,2,,1,,,2,,,,,,
FA0000834,2,3,3,1,,,3,1,1,1,,,
FA0000838,,2,1,1,,,1,,,,,,
FA0000840,,2,,1,,,,,,,,,
FA0000841,,1,1,,,,,,,,,,
FA0000843,,1,1,1,1,,,1,,2,,1,
FA0000844,1,3,2,1,2,,1,1,,1,,,
FA0000845,,1,,,,,,1,,,,,
FA0000847,,1,,1,,,,,,,,,
FA0000848,2,1,2,1,1,,1,,,,,,
FA0000851,2,,1,2,,,1,,,,,,
FA0000863,1,1,3,,2,,,1,1,1,1,1,
FA0000870,,2,1,1,2,,,1,1,,,,
FA0000872,1,4,3,1,1,,2,3,3,3,3,3,
FA0000878,1,2,,,,,,1,,,,,
FA0000879,1,2,3,1,1,,2,1,2,2,,1,
FA0000881,,2,3,2,,,1,,,1,1,,
FA0000882,1,1,,1,,,,,1,,,1,
FA0000885,3,4,4,3,1,2,2,5,2,1,,5,
FA0000886,2,1,3,,1,,2,,,,,,
FA0000887,1,2,3,2,1,1,,,,,,,
FA0000888,1,,,,,,,,,,,,
FA0000889,,3,1,,2,,,,,,,,
FA0000897,,3,3,,,,,,,1,,,
FA0000898,2,3,3,,,,,,,,,1,
FA0000907,4,2,2,2,,1,1,1,1,1,1,1,
FA0000909,1,1,2,,1,,,,,,,,
FA0000923,1,,,,2,,,,,,,,
FA0000925,1,2,4,1,1,1,1,3,,1,1,,
FA0000926,2,2,3,1,2,1,1,,,1,,,
FA0000931,,3,,1,1,,,1,,,,,
FA0000941,1,4,3,1,1,1,2,1,1,2,,1,
FA0000942,1,1,1,1,2,2,,,,1,,,
FA0000943,3,4,3,3,3,,2,1,1,1,1,1,
FA0000945,2,3,2,,,,,,,,,,
FA0000947,1,3,1,,,,3,,,1,,,
FA0000951,,1,3,,,,1,,,1,,,
FA0000957,,2,2,,2,,2,,1,,,1,
FA0000959,,2,3,1,1,,,,,,,,
FA0000961,3,3,2,,2,,1,,,,,,
FA0000962,,,,,1,,,,,,,,
FA0000963,1,2,1,,,,,,,,,,
FA0000966,,1,1,1,,,,,1,1,,1,
FA0000968,1,2,2,,1,,,,,2,,,
FA0000969,1,1,2,2,,,,,,,,,
FA0000970,2,2,2,2,1,2,2,,1,,,2,
FA0000971,2,1,1,,1,,,1,1,2,1,2,
FA0000972,,3,1,,,,2,,,2,,,
FA0000973,,2,1,,3,,2,,,3,,1,
FA0000974,,1,1,,,,1,,,,,,
FA0000975,2,,2,,2,1,1,1,1,1,,1,
FA0000976,1,3,3,2,,1,1,2,2,1,1,1,
FA0000990,1,1,1,2,,,1,1,,1,,,
FA0000995,1,,,,,,2,,,,,,
FA0000996,,3,1,,,,2,,,2,,,
FA0000997,2,2,3,1,2,,,1,,,,,
FA0001000,1,,2,,1,,1,,,1,,,
FA0001003,,2,1,,,,2,,,,,,
FA0001004,3,2,3,2,3,,,,,1,,,
FA0001005,,2,2,1,1,,3,,,1,,,
FA0001007,,2,3,1,1,1,1,,,,,,
FA0001014,1,1,2,1,1,,,1,,1,,,
FA0001017,,,,2,,,,,,,,,
FA0001020,1,3,2,1,1,,2,1,,,1,,
FA0001021,,,1,1,1,,,,,1,,,
FA0001022,,2,2,1,1,,,1,,1,1,,
FA0001035,1,,1,,,,,,1,,,,
FA0001036,,3,3,2,,,,,,1,,,
FA0001046,1,1,1,1,1,,,,,,,,
FA0001055,,,,1,1,,,,,,,,
FA0001057,,,,,,,,,,,,1,
FA0001060,1,1,2,1,,,1,1,,2,1,2,1
FA0001072,1,1,,1,,,1,,,,,,
FA0001074,,,3,,,,,,,,,,
FA0001076,,2,2,1,2,,,,1,2,1,1,
FA0001077,1,2,2,1,4,1,3,,,3,1,,
FA0001084,1,3,4,1,,,1,1,,2,1,,
FA0001086,2,2,2,,,,1,1,1,1,,,
FA0001088,1,3,1,2,3,,1,2,,1,1,1,
FA0001090,,,1,,1,,,,1,,,,
FA0001091,,,1,1,,,,,,,,,
FA0001094,,1,1,2,1,,,1,1,1,,1,
FA0001114,1,1,,,,1,2,2,1,1,1,1,
FA0001116,,,,,1,,,,,,,,
FA0001124,2,4,1,3,1,,2,,,2,1,1,
FA0001126,2,2,,3,3,,,2,3,3,1,2,
FA0001138,2,2,3,3,1,,,1,,,1,,
FA0001149,1,1,,,1,,1,,,,,,
FA0001161,,3,,,,,,,,,,,
FA0001163,,2,1,1,1,,,,,1,,1,
FA0001166,,1,1,1,3,,2,1,2,,1,1,
FA0001167,,2,,3,,,,,,,,2,
FA0001168,,,1,,,,,,,1,,,
FA0001169,,2,1,1,2,,1,1,1,1,1,,
FA0001175,1,,2,1,,,2,,2,,,2,
FA0001182,1,5,2,3,3,,2,3,2,3,,3,2
FA0001183,1,3,2,1,,,,3,1,1,3,2,1
FA0001186,,,,2,,,,2,,,,,
FA0001191,2,3,3,2,3,,4,,1,2,,1,
FA0001192,4,4,3,1,1,,2,1,2,,,1,1
FA0001195,1,1,,1,,,1,,,,,,
FA0001198,,3,1,,,,,,,,,1,
FA0001200,,4,2,2,1,,,,,1,,,
FA0001202,1,3,4,,1,1,1,,1,,,1,
FA0001203,,1,,2,1,,,,,1,,2,
FA0001204,1,1,2,1,1,1,1,,,1,,1,
FA0001215,2,3,1,1,2,,,2,,2,,1,
FA0001220,,2,2,2,2,,,,,,,,
FA0001225,,1,2,1,1,,2,,,,,1,
FA0001229,1,1,,1,,,2,,,,,,
FA0001230,,2,,,,,1,,,1,,,
FA0001232,1,2,1,2,,,,,,,,,
FA0001234,,,,1,,,1,1,,,,,
FA0001236,,1,3,2,1,,,,,1,,1,
FA0001237,,1,1,,2,1,,1,,1,,,
FA0001240,,2,3,1,1,,1,1,1,2,,1,
FA0001242,2,3,2,,1,,,,,,1,,
FA0001243,1,1,,2,2,,1,,1,,,1,
FA0001244,2,2,2,1,3,1,1,,2,3,1,3,
FA0001245,,1,1,,,,,,,,,1,
FA0001247,1,2,2,,,,,,,,,,
FA0001249,1,1,1,,1,,,,,,,,
FA0001251,1,1,1,,1,,1,,,1,,,
FA0001253,5,5,4,3,2,2,4,3,2,3,1,5,
FA0001257,1,2,,1,1,,1,2,1,,,1,
FA0001258,3,2,,1,1,1,,,1,2,1,1,
FA0001260,1,1,1,,,,,,,,,,
FA0001267,1,,1,1,1,,,,,,,,
FA0001269,,,2,2,,1,,1,1,,,1,
FA0001270,,2,,1,,,1,,,,,1,
FA0001272,2,5,5,4,1,3,1,1,1,2,,,
FA0001273,1,,1,1,1,,1,,,,,,
FA0001278,,,,,1,,,,,,,1,
FA0001283,,2,1,,,,,1,,,,,
FA0001284,2,4,4,3,3,,,,1,1,,1,1
FA0001286,2,1,1,1,1,,1,,,1,,,
FA0001288,1,3,2,2,,1,3,1,,,1,,
FA0001290,1,1,2,,1,1,2,,,1,2,,
FA0001291,1,,,,,,,,,1,,,
FA0001292,,,3,,,,,1,,,,,
FA0001294,,,2,,,,,,,,,,
FA0001299,,1,2,2,3,,,,,2,1,3,
FA0001300,,,,2,1,,,1,,,1,2,
FA0001306,3,3,3,,1,1,1,1,,,,1,
FA0001308,,1,,2,,,1,,2,,,,
FA0001309,,1,2,,,,,,,,,,
FA0001310,1,2,1,1,,1,2,1,,2,,,
FA0001319,,,,1,,,,,,,,,
FA0001321,,1,2,,,,,1,,,,,
FA0001322,,1,1,1,,1,,,,,,,
FA0001327,,1,1,1,2,,1,,,,,,
FA0001330,,2,1,,,,1,,,1,,,
FA0001333,1,1,,1,1,,,,,1,,,
FA0001335,,2,1,1,1,,1,1,1,,,2,
FA0001336,,,1,2,,,,,,,,,
FA0001338,3,4,3,1,2,,2,4,,4,2,1,
FA0001343,2,4,3,,2,1,1,1,,,,,
FA0001344,2,3,2,1,1,3,,1,,3,,,
FA0001347,,2,5,,1,2,,,,3,,,
FA0001350,,1,,1,,1,1,2,,,,,
FA0001355,3,6,4,,2,,1,1,2,2,1,1,
FA0001363,2,2,2,1,2,,,2,1,,,1,
FA0001367,2,4,2,1,1,,2,1,1,,,1,
FA0001368,,1,1,,1,,1,,,,,1,
