facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0001088,,,,,1,1,,,3,,,,2,,,,,,1,,,,,1,,,,,,,,1,1,,,,,1,,,1,,2,,,,,1,,
FA0001090,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FA0001091,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
FA0001094,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,1,,
FA0001114,,,,,,,1,,,,,,2,1,,,,,,,,1,,2,,,,,,,,1,,,,,,1,1,1,1,,,,,,,1,,
FA0001116,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001124,,,2,,,1,2,,1,2,,,,1,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,1,,1,3,,,,1,,
FA0001126,,1,1,,1,,,,3,,1,,2,1,,,,,,1,,,,,,,,,,,,1,,,,,,1,,3,2,,1,3,,,,2,1,
FA0001138,,,,,,,1,1,1,,1,1,1,,,,,1,3,1,,,,,,,,,,,,,1,,,,,1,,,,,1,3,,,,,,
FA0001149,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0001161,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001163,,,1,,,,2,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,1,,
FA0001166,,,1,,,1,1,,3,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,2,,,,1,,1,,1,,
FA0001167,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,1,
FA0001168,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FA0001169,,1,,,1,1,,,2,,,,1,1,,,,,1,,,,,1,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,
FA0001175,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,1,,,,,,,,2,,,,1,,,,2,,
FA0001182,,,2,,,3,2,1,3,,1,,3,,,,,1,1,,,,,2,,,1,,1,3,,1,2,2,,,,,,2,1,2,2,3,,,,3,,2
FA0001183,,,,,,1,1,1,,,,,1,1,1,,,,1,1,,,,,,,,,,2,,,,,,,3,,,1,,,1,,,,,1,1,1
FA0001186,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
FA0001191,,,1,,,2,2,1,2,,1,,,,,1,,,3,,,1,,4,,,,,1,,,1,1,1,,,,,,1,1,,,2,,1,,1,,
FA0001192,,,1,,,,3,,1,,,,1,,,,,,2,1,,2,,2,,,2,,,1,,1,1,,,,,,,2,,,1,,,,,1,1,1
FA0001195,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,
FA0001198,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,
FA0001200,,,,,,1,2,3,,,,,,,,,,,2,,,,,,,,2,,,,,,2,,,,,,,,1,,,2,,1,,,,
FA0001202,,1,,,1,1,,1,1,,,,,,,,,,3,,,,,1,,,3,,,,1,1,,,,,,,,1,,,,,,,,1,1,
FA0001203,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,2,,
FA0001204,,,,,,1,,,1,,,,,,,,,1,2,,,,,1,,,,,1,,,2,,1,,,,,,,,,1,1,,,,1,,
FA0001215,,1,,,1,2,,,2,,,,2,,,,,,1,,,2,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,1,,
FA0001220,,,,,,2,,,2,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,
FA0001225,,1,,,1,,1,,1,,,,,,,,,,1,,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,1,,
FA0001229,,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0001230,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
FA0001232,,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
FA0001234,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0001236,,,,,,1,1,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,
FA0001237,,,,,,,,1,2,,,,1,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
FA0001240,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,1,,,,,3,,,,1,,,,,,,1,1,2,1,,,,,1,,
FA0001242,,,,,,,1,3,1,,,,,,,,,,2,,,,,,2,,1,,,,,1,1,,,,1,,,,,,,,,,,,,
FA0001243,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,2,1,,,,1,,
FA0001244,,1,,,1,,,,3,,,,,2,,,,1,2,1,,,,1,,,,,,,,2,1,,,1,,1,1,2,2,3,1,1,,,,3,1,
FA0001245,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
FA0001247,,,,,,,1,1,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0001249,,,,,,1,1,1,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FA0001251,,,,,,,1,,1,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,
FA0001253,,1,,,1,2,4,1,2,,,,3,1,,,,3,3,,,1,,4,,,,2,,,,4,,,,,1,,1,2,2,,,3,,,,5,,
FA0001257,,,,,1,1,,,1,,1,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,1,,,,1,,
FA0001258,,,1,,,,1,,1,,,,,,,,,,,,,2,,,,,,,,,1,1,2,,,,,1,1,1,1,1,1,1,1,,,1,1,
FA0001260,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001267,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
FA0001269,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,1,1,,,,,,,,,1,,,,2,,,,1,1,
FA0001270,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,1,,
FA0001272,,1,2,,1,,,,1,,,,1,1,,,,,4,,,,1,1,,,,1,2,1,2,2,3,1,,,,,,1,,,2,1,1,,,,,
FA0001273,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,
FA0001278,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
FA0001283,,,,,,2,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001284,,,,,,3,3,1,2,,2,,,1,,,,,4,,,1,,,,,1,,2,,,1,2,1,,,,,,1,,,2,,1,1,,1,,1
FA0001286,,,,,,1,1,,1,,,,,,,,,,1,,,2,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,,
FA0001288,,,,,,3,2,1,,,,,1,,,,,,2,,,,,3,,,1,,,,1,1,2,,,1,,,,,,,,2,,,,,,
FA0001290,,,1,,,1,1,,1,,,,,,,,,,2,,,,,2,,,,,,,,2,,,,,2,,,,1,,,,,,,,,
FA0001291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
FA0001292,,,,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001294,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001299,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,1,,,,1,2,1,2,,2,,3,,
FA0001300,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,,,,1,1,
FA0001306,,,,,,2,2,,1,,,,1,,,,1,,2,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,1,,
FA0001308,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,,,,,
FA0001309,,,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0001310,,,1,,,1,,,,,,,1,,,,,,1,,,1,,2,,,1,,,,,1,,,,,,,,,2,1,,1,,,,,,
FA0001319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0001321,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0001322,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,
FA0001327,,,,,,1,,,2,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,
FA0001330,,,,,,1,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0001333,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
FA0001335,,,,,,1,1,,1,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,1,,,,2,2,
FA0001336,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
FA0001338,,,1,,,1,1,,2,,1,,4,1,,,,,3,,,1,,2,,,1,,,1,,2,3,2,,,2,,,,1,1,,1,,,,1,,
FA0001343,1,1,1,,,1,2,4,2,,,,1,,,,,,3,,,,,1,,,1,,1,,,2,2,,,,,,,,,,,,,1,,,,
FA0001344,,,1,,,1,,,1,,,,1,,,,,1,2,,,,,,,,1,,,,1,3,2,,,,,,,,3,1,1,,,,,,,
FA0001347,,1,,,1,,1,,1,,,,,,,,,,4,,,,,,,,2,,2,,1,1,,,,,,,,,3,,,,,,,,,
FA0001350,,,,,,1,1,1,,,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,1,,,,,,,
FA0001355,,2,3,,1,1,4,,2,,,,1,1,,,,,3,1,,,,1,,,1,,,,,2,2,,,,1,,,2,,1,,,,,,1,1,
FA0001363,,,,,1,1,,,2,,,,2,,,,,2,2,1,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,
FA0001367,,,1,,,1,2,2,1,,,,1,,,,,1,2,,,,,2,,,2,,,,,2,1,,,,,,,1,,,,1,,,,1,1,
FA0001368,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,
FA0001370,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,
FA0001373,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2,1,,,,,,
FA0001374,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0001375,,,,,,,,,2,,,,2,,,,,1,,,,1,,,,,,,,1,,1,,,,,,,1,,,,,1,,,,2,,
FA0001380,,,,,,1,,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,,
FA0001403,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,2,1,,,,,,
FA0001408,,,,,,,,1,1,,1,,1,,,,,,2,,,,,1,,,2,,,,1,1,,,,,,,,1,,,1,,,,,1,,
FA0001414,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0001429,,,,,,1,1,,3,,,,1,,,,,,1,,,2,,,,,,,2,1,1,2,2,,,,,,,,1,,2,,,,,,1,
FA0001444,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,1
FA0001447,,1,,,1,,1,,,,,,,,,,,,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
FA0001451,,,,,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0001493,,1,,,1,1,1,,1,,,,2,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,1,,,1,2,,1,,1,,
FA0001512,,,,,,1,,,1,,,,,,,,,,2,,,,,,,,1,,,,,2,,,,,,,,,,,,1,,,,,,
FA0001513,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0001514,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,
FA0001515,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001524,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001542,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,
FA0001543,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,3,1,,,,,,,,,,,1,,,,,,
FA0001549,,,1,,,,2,2,1,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,,1,,2,,,,,1,,
FA0001550,,,,,,1,3,,2,,,,,1,,,,1,2,,,1,,,,,1,,,,,2,4,,,,,,,1,,1,2,1,1,,,1,,1
FA0001554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FA0001585,,1,1,,1,,1,,2,1,,,4,,,,,3,5,1,,,,1,1,,3,,,1,1,3,,1,,,,,1,2,1,,,,,,,,,
FA0001595,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001614,,,,,,,,,,,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FA0001623,,,,,,,1,,1,,1,,1,1,,,,,1,1,,,,,,,,,,,,1,2,,,,,1,,1,,,2,,,,,1,,
FA0001624,,,,,,1,,,,,,,,,,1,,1,1,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,
FA0001630,,,,,,1,,1,,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0001631,,,,,,,,,2,,,,,,,,,,2,,,,,2,,,,,1,,,,1,,,,,,,,,1,1,1,,,,,,
FA0001638,,,,,,1,,,1,,1,,1,,,,,,2,,,2,,1,,,1,,1,1,,1,2,1,,,1,,,1,,,,2,,,,,,
FA0001641,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001642,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
FA0001643,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,
FA0001645,,,,,,,1,,,,,,,,,,,,3,,,1,,1,,,1,,,1,,1,1,1,,,,,,1,2,,1,,,,,1,,
FA0001646,,,,,,1,2,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
FA0001647,,,,,1,1,2,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
FA0001662,,1,,,1,1,,1,1,,,,2,,,,,,3,,,1,,,,,1,,,,,,1,,,,,,,,2,,,,,,,,,
FA0001663,,,,,,2,2,1,1,,,,,1,,,,,3,,,,,1,,,,,,,,,1,,,,1,,,,,1,1,1,,,,1,,
FA0001732,,,,,1,1,,,1,,,,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0001760,,1,,,1,2,,,3,,,,,,,,,,1,,,,,3,,,,,,1,,,,,,,,,,1,4,,,1,,,,1,,
FA0001776,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,1,1,,1,,,1,,1,,
FA0001782,,1,,,,1,,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
FA0001786,,,,,,,,,,,,,,,,,,2,2,,,2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,
FA0001800,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,
FA0002019,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
FA0002021,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
FA0002027,,,1,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0002076,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
FA0002087,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0002108,,,,,,,1,,1,,1,,1,1,,,,1,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0002128,,,,,,,2,1,,,,,1,,,,,,3,2,,2,,3,,,,,1,,,,,,,,,,,,,,,,,,,1,,
FA0002132,,1,,,,,1,1,1,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
FA0002133,,1,,,1,,1,,,,,,,,,,,,3,,,,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,
FA0002143,,1,1,,1,,1,,3,,,,2,,,,,,1,,1,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0002144,,,1,,,,1,1,1,1,,,,,,,,,1,,,1,,2,1,,,,1,1,,1,,,,,1,,,,1,,,1,,,,,,
FA0002145,,1,1,,1,4,1,,3,,,,2,,,,,,,1,,,,1,,,,,1,,1,1,1,,,,,,,1,,,,1,,,,,,
FA0002152,,,1,,,1,2,1,1,,,,,,,,,1,5,,,,,4,,,2,,1,,,,,1,,,,1,,,,,1,2,,,,,1,
FA0002157,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,
FA0002162,,1,,,1,1,2,,1,,,,,,,,,,2,1,,1,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,
FA0002163,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
FA0002166,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,
FA0002167,,,1,,,1,2,1,,,,,,,,,,,2,,,1,,,1,,,,,,,,2,,,,,,,,,,1,1,,,,,,
FA0002168,,,,,,,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0002169,,,1,,,,1,,1,,,,,1,,,,,2,,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,,
FA0002171,,1,1,,,,,,1,,,,1,1,,1,,1,1,,,,,1,,,,,,,,2,,,,,,,,,1,,,,,,,,,
FA0002178,,1,1,,1,1,,,1,,,,1,,,,1,1,2,1,,,,1,,,1,,,,,,1,,,,,,,1,,1,,,,,,,,
FA0002186,,1,,,,2,1,1,1,,,,1,,,,,2,2,1,,1,,2,,,1,,,1,1,,,,,,,1,1,1,3,,1,,,,,,,
FA0002200,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,
FA0002205,,,,,,,,,1,,,,2,1,1,,,,,,,,,1,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,
FA0002210,,,1,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,
FA0002230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
FA0002245,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0002274,,,,,,,,,,,,,1,,,,,1,3,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
FA0002284,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,
FA0002287,,,1,,,,,,2,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,
FA0002294,,1,,,1,,,,1,,,,3,1,,,,1,2,,,,,2,,,,,,,,2,3,,,,1,,,2,,2,,2,,,,1,,
FA0002297,,1,1,,,1,1,,1,,,,,,,1,,,,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,
FA0002301,,,1,,,1,,,1,,,,,,,,,,2,,,,,1,,,1,,1,,,1,,,,,,,,,,,1,,,,,,,
FA0002303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,
FA0002311,,,,,,1,,,3,,,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,
FA0002315,,1,,,,1,,,2,,,,1,,,,,,2,1,,,,1,,,,1,,,1,,1,,,,1,,,1,,,,1,,,,,,
FA0002330,,,2,,,,1,,1,,,,,1,,,,,2,,,,,,,,1,,,,,,,2,,,1,1,,,1,,1,1,,,,1,,
FA0002331,,,,,,2,,,1,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,1,3,,,,,,
FA0002332,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
FA0002339,,,1,,,2,2,2,1,,,,,1,,,,1,3,,,1,,,,,1,,,,1,1,3,,,,,,,,,,,2,,1,,,,
FA0002343,,1,,,1,1,2,2,,,1,,1,,,,,,1,1,,2,,3,,,,,1,,,3,,,,,,1,,1,1,,2,1,,,,,1,
FA0002345,,,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,2,1,,1,2,,,1,1,,
FA0002356,,,,,,1,,,3,,1,,,,,,,,1,,,,,2,,,,,1,,,,1,,,,,,,,1,,,1,,,,,,
FA0002357,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
FA0002371,,,,,,,1,,,,1,,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
