"facility_id","facility_name","google_lat","google_long","price_level","rating","total_ratings","avg_inspection_score","avg_violations_count","inspection_count"
"FA0000009","AMERICAN LEGION BOULDER POST 10",40.0605914,-105.2735952,2,4.9,15,36.0,2.5,5
"FA0000010","MOXIE BREAD COMPANY",39.9767175,-105.1323027,2,4.7,937,12.75,5.333333333333333,16
"FA0000011","ABOS PIZZA",40.1007395,-105.1681252,1,4.3,119,37.857142857142854,3.5,7
"FA0000015","MT EVEREST CUISINE",39.9980269,-105.2328968,1,4.7,232,43.42857142857143,4.666666666666667,14
"FA0000017","UNDER THE SUN EATERY & TAPHOUSE",39.7051972,-104.987561,2,4.3,109,25.0,2.0,6
"FA0000018","DISH GOURMET",40.0197052,-105.2701856,2,4.7,150,65.0,3.0,9
"FA0000021","ROCKY MOUNTAIN PATHWAY RANCH",40.1934368,-105.5112163,2,4.9,22,10.0,1.0,1
"FA0000024","ABOS PIZZA SOUTH",39.7050752,-104.9875752,2,3.5,143,41.666666666666664,3.75,15
"FA0000025","ABOS PIZZA NORTH",40.0375466,-105.2593606,1,4.3,232,29.454545454545453,3.0,11
"FA0000026","ABOS PIZZA",39.98799899999999,-105.1255301,2,3.5,143,23.77777777777778,4.5,9
"FA0000030","ARBYS #5009030",40.1979179,-105.1019365,1,3.8,808,18.5,2.5,6
"FA0000031","WENDYS 11318",39.9994306,-105.2626773,1,3.7,622,8.333333333333334,1.0,3
"FA0000033","IHOP 1836",40.016358,-105.2589347,1,3.7,1210,40.333333333333336,2.5,9
"FA0000038","HOLY CREPE",40.0139508,-105.2782063,2,4.9,69,40.82608695652174,7.666666666666667,23
"FA0000056","MOJO TAQUERIA",40.22345670000001,-105.2656871,2,4.5,569,10.0,2.0,2
"FA0000057","AUNT ALICES KITCHEN",40.1910351,-105.1030099,1,4.4,2079,30.636363636363637,3.6666666666666665,11
"FA0000061","MOES BROADWAY BAGEL",40.034001,-105.2591438,1,4.4,387,23.333333333333332,2.5,6
"FA0000063","BREWING MARKET",40.1403455,-105.1304567,2,4.5,388,33.0,2.5,5
"FA0000064","BREWING MARKET",40.0123075,-105.1322456,2,4.2,295,25.727272727272727,3.5,11
"FA0000067","BUFF RESTAURANT THE",40.0171304,-105.2602235,2,4.6,2491,50.93333333333333,5.0,15
"FA0000075","TRES GRINGOS CANTINA",39.9598234,-105.5094306,2,4.5,171,27.0,2.0,4
"FA0000079","MUDROCKS TAP AND TAVERN",39.9878512,-105.1363573,2,4.2,662,49.916666666666664,6.0,12
"FA0000084","BLUE AGAVE",40.1441702,-105.1279513,2,4.1,684,46.0,4.0,4
"FA0000086","BAO ASIAN FUSION AND SUSHI",39.9617031,-105.1636797,2,4.3,470,21.53846153846154,4.0,13
"FA0000088","TILT",39.9766071,-105.1318801,2,4.5,59,93.75,8.0,16
"FA0000089","MAMA MEADS PIZZERIA",40.1742576,-105.1033641,2,4.3,275,49.56521739130435,5.75,23
"FA0000092","GEMINI",40.017885,-105.2808233,2,4.7,50,33.75,2.5,8
"FA0000093","BOULDER MARRIOTT",40.0161241,-105.2601208,2,4.2,698,56.0,6.0,12
"FA0000095","BOULDERS DINNER THEATRE",40.0148045,-105.213055,2,4.7,982,50.0,4.0,4
"FA0000098","BLACKJACK PIZZA AND SALADS",40.0206928,-105.2531625,1,3.7,192,43.38461538461539,4.333333333333333,13
"FA0000100","CUPPA HOUSE COFFEE & TEA",40.1779437,-105.1160281,0,4.7,134,42.857142857142854,4.666666666666667,14
"FA0000105","ARABESQUE",40.0180096,-105.2734688,2,4.3,172,58.75,2.6666666666666665,8
"FA0000106","BEN AND JERRYS",40.0179937,-105.2798279,2,4.3,345,29.571428571428573,3.5,7
"FA0000108","MONO MONO KFC",40.0034456,-105.1016396,2,4.6,266,20.625,2.0,8
"FA0000109","BURGER KING 414",40.0186492,-105.257652,1,3,612,29.166666666666668,2.0,6
"FA0000110","BURGER KING #4690",40.1445969,-105.1272432,1,3.5,324,13.4,1.5,5
"FA0000112","BURGER KING 7062",40.0712081,-105.2016325,1,3,276,5.0,1.0,1
"FA0000113","BURGER KING 7367",39.987409,-105.1273117,1,2.8,404,19.7,2.6666666666666665,10
"FA0000115","BURGER KING #7885",40.1941401,-105.1018452,1,3.1,625,10.0,1.0,1
"FA0000123","LUNA CAFE THE",40.1725449,-105.1034895,1,4.3,313,37.0,2.5,5
"FA0000124","ASTRO COFFEE BAR",40.0185643,-105.2800076,1,4.6,58,29.53846153846154,4.333333333333333,13
"FA0000127","BPOE LODGE 566",40.046821,-105.2615676,2,4,48,10.25,2.0,4
"FA0000130","GURKHAS ON THE HILL",40.0071181,-105.2759597,2,4.3,92,27.5,2.0,4
"FA0000132","BOBS SANDWICH SHOP",39.9783333,-105.132,1,4.6,394,46.42857142857143,4.666666666666667,14
"FA0000133","CAPITAL ONE CAFE",40.0182807,-105.2789394,1,4,71,33.2,2.5,5
"FA0000135","BOULDER CORK THE",40.0344665,-105.2540941,3,4.5,864,25.0,3.0,8
"FA0000139","SFORNO TRATTORIA",40.01797579999999,-105.2782481,2,4.1,456,14.4,7.5,15
"FA0000140","WEST SIDE TAVERN",40.1666013,-105.1155487,2,4.8,485,87.95454545454545,11.0,22
"FA0000147","CANNON MINE COFFEE",39.99641680000001,-105.090221,1,4.5,379,20.764705882352942,4.25,17
"FA0000150","CANYON CAFE",40.0143562,-105.2887003,2,4.6,15,18.333333333333332,1.5,3
"FA0000152","CARELLIS OF BOULDER RISTORANTE ITAL",39.9988378,-105.2537574,2,4.4,820,43.36363636363637,3.6666666666666665,11
"FA0000157","YOU AND MEE NOODLE HOUSE",40.035263,-105.2566954,2,4.1,169,39.75,4.0,8
"FA0000159","AVANTI F&B COMMISSARY & BARS",40.018652,-105.2771752,2,4.4,467,13.6,2.0,10
"FA0000162","CHEF KING",39.98799899999999,-105.1255301,2,4,107,32.76923076923077,4.0,13
"FA0000164","CHEZ THUY CUISINE",40.0270275,-105.2588407,2,4.3,928,50.130434782608695,6.666666666666667,23
"FA0000165","MURPHY'S TAP HOUSE",39.9622243,-105.1652104,2,4.4,1289,35.833333333333336,3.0,6
"FA0000181","CENTRO MEXICAN CUISINE",40.0172017,-105.2825478,2,4.1,1074,50.625,4.0,8
"FA0000182","MAMAS CAFE",40.15370470000001,-105.1079628,1,4.3,125,106.56756756756756,9.25,37
"FA0000185","SUBWAY",39.9873088,-105.1251189,1,3.7,85,22.0,3.0,6
"FA0000191","CINEBARRE",39.9600563,-105.1677922,2,4,1331,4.0,5.0,10
"FA0000192","BACK COUNTRY PIZZA",39.9597431,-105.5092196,2,3.8,326,95.3225806451613,7.75,31
"FA0000193","QUALITY INN",39.96130170000001,-105.1678674,2,3.6,616,23.0,2.5,5
"FA0000200","BOULDER DUSHANBE TEA HOUSE",40.0154468,-105.2772448,2,4.6,2995,64.47368421052632,3.75,19
"FA0000210","PISTACHIO CAFE BAKERY",40.200947,-105.1031013,2,4.4,281,51.26315789473684,6.333333333333333,19
"FA0000225","STEAKHOUSE 316",40.0176648,-105.2781944,4,4.6,206,23.333333333333332,3.0,6
"FA0000230","TRAIN CARS COFFEE & YOGURT CO THE",39.9603842,-105.5101288,1,4.7,506,18.1,2.5,10
"FA0000233","BIG DADDY BAGELS",39.9980269,-105.2328968,1,4.3,184,31.666666666666668,3.0,9
"FA0000234","ALPINE MODERN",40.0071284,-105.2817249,2,4.5,355,84.11111111111111,4.5,18
"FA0000237","FALAFEL KING",40.0180273,-105.2781567,2,4.4,552,105.4186046511628,14.333333333333334,43
"FA0000238","FANS CHINESE CUISINE",40.10004929999999,-105.1672438,2,4,103,49.94117647058823,4.333333333333333,17
"FA0000240","SUBWAY #34537",40.0703182,-105.201701,1,3.7,91,20.90909090909091,3.0,11
"FA0000242","ELDORA MOUNTAIN RESORT",39.9366134,-105.5884097,2,4,2,35.0,4.0,8
"FA0000245","MARCOS HOT DOG",40.1883015,-105.1007946,1,4.8,1421,33.92857142857143,2.5,14
"FA0000247","SEVENTEEN THIRTY-NINE",40.0195963,-105.2725249,2,4.5,21,39.357142857142854,4.5,14
"FA0000251","TEOCALLI COCINA",39.9984366,-105.090651,2,4.6,914,86.21739130434783,7.666666666666667,23
"FA0000252","AMERICAN LEGION POST 111",39.9760918,-105.1286822,1,4.9,15,78.75,4.0,8
"FA0000256","BPOE LODGE 1055",40.1642415,-105.1034667,2,4.2,27,66.4,5.0,10
"FA0000257","BREADWORKS",40.02485739999999,-105.2808845,2,3.8,125,40.03846153846154,3.6666666666666665,26
"FA0000258","BREWING MARKET",40.01758030000001,-105.2782401,2,4.6,85,30.0,3.5,10
"FA0000278","FREDDYS FROZEN CUSTARD AND STEAKBURGERS",40.1992957,-105.1020051,1,4.3,1185,23.0,1.5,5
"FA0000279","IHOP 2126",40.1438747,-105.1284081,1,3.1,1009,15.2,2.5,5
"FA0000281","OLD SANTA FE MEXICAN GRILLE",39.9616856,-105.1632228,2,4.4,977,38.93333333333333,4.0,15
"FA0000288","KUNG FU TEA",40.007786,-105.2752847,1,4.4,314,55.76923076923077,6.5,13
"FA0000291","FLAGSTAFF HOUSE",40.007347,-105.2945057,4,4.7,899,25.714285714285715,3.5,7
"FA0000293","NIWOT TAVERN",40.10004929999999,-105.1672438,2,4.6,394,75.07142857142857,4.666666666666667,14
"FA0000295","COLORADO ATHLETIC CLUB AT FLATIRONS",39.9962737,-105.2330988,2,3.4,70,17.0,2.0,4
"FA0000303","COURTYARD LOUISVILLE MARRIOTT",39.9588916,-105.1635883,2,4.2,512,15.4,1.5,5
"FA0000304","COURTYARD BY MARRIOTT",40.0212524,-105.242931,1,4.3,503,23.285714285714285,2.5,7
"FA0000314","GARDEN GATE CAFE",40.1007853,-105.1681143,2,4.4,382,54.51724137931034,7.25,29
"FA0000326","GLACIER HOMEMADE ICE CREAM",40.0315597,-105.2589744,1,4.6,416,38.888888888888886,3.0,9
"FA0000327","GLACIER VIEW RANCH",40.1249376,-105.4600528,2,4.9,24,50.0,4.5,9
"FA0000329","GOLD HILL GENERAL STORE AND PUB",40.0631739,-105.4101255,2,4.8,183,10.0,1.0,1
"FA0000330","GOLD HILL INN",40.0632368,-105.4087985,2,4.7,302,25.0,2.0,2
"FA0000331","KATHMANDU RESTAURANT II",40.0212448,-105.2575637,1,4.3,1008,48.0,5.2,26
"FA0000332","DOTS DINER",40.0274789,-105.2573597,1,4.4,463,30.0,3.0,9
"FA0000333","PAULS COFFEE AND TEA",39.9638791,-105.1622056,1,4.7,435,36.75,4.0,12
"FA0000335","BITTER BAR THE",40.0161912,-105.2842396,3,4.5,422,18.333333333333332,1.5,3
"FA0000336","DA GABI CUCINA",39.9903031,-105.2568417,2,4.5,300,85.0,7.5,15
"FA0000337","WOK TO FLATIRONS DELI",40.0216071,-105.2171968,1,4,98,50.0,3.0,3
"FA0000339","SNARF BURGER",40.01448329999999,-105.2688712,1,4.5,1071,34.25,2.6666666666666665,8
"FA0000340","FUJI CAFE",40.0183706,-105.2799854,1,4.5,280,18.8,2.5,5
"FA0000342","DOUBLE HAPPY RESTAURANT",39.977637,-105.1319486,1,4.2,233,46.0,6.5,18
"FA0000343","DAIRY QUEEN 12406",39.9991679,-105.2541497,1,3.7,96,10.333333333333334,1.5,3
"FA0000346","LYONS DAIRY BAR",40.22239560000001,-105.2645581,1,4.3,499,22.363636363636363,2.75,11
"FA0000347","THRIVE",40.0148997,-105.2743612,2,4.7,471,19.72222222222222,4.5,18
"FA0000350","CORNER THE",40.0074268,-105.2760395,2,4.4,226,52.857142857142854,3.3333333333333335,14
"FA0000351","SNARFS",40.0722488,-105.2007355,1,4,304,25.571428571428573,2.3333333333333335,7
"FA0000355","RAZA FRESA MEXICAN KITCHEN",40.10004929999999,-105.1672438,2,4.2,209,107.73684210526316,6.0,19
"FA0000356","DARK HORSE",39.999119,-105.2552922,1,4.5,3018,28.333333333333332,2.0,6
"FA0000359","GONDOLIER ITALIAN EATERY",40.144383,-105.103147,2,4.2,861,62.47826086956522,7.666666666666667,23
"FA0000360","DELI ZONE VALMONT",40.0286851,-105.2555386,1,4.5,281,27.333333333333332,4.5,9
"FA0000364","GOOD TIMES BURGERS AND FROZEN CUSTA",40.0224936,-105.2608874,1,4.2,817,27.22222222222222,3.5,9
"FA0000365","TACO STAR",40.1945031,-105.1018338,1,3.8,709,47.25,4.25,20
"FA0000371","GREAT HARVEST BREAD COMPANY",40.0152398,-105.2600413,2,4.4,124,38.0,3.5,10
"FA0000372","GREENBRIAR INN THE",40.13329359999999,-105.282708,3,4.6,603,55.833333333333336,4.0,12
"FA0000378","JESTERS PERFORMING ARTS",40.16280270000001,-105.1022334,1,4.7,581,30.0,2.0,2
"FA0000384","BEAU JOS COLORADO STYLE PIZZA",40.1434438,-105.1269462,2,4,1318,43.333333333333336,3.0,6
"FA0000386","YOONIECORN DONUTS",40.1902598,-105.1316063,1,4.3,138,25.4,4.0,10
"FA0000387","LINDSAYS BOULDER DELI AT HAAGEN DAZ",40.0177386,-105.2801068,2,4.3,504,32.64705882352941,3.6666666666666665,17
"FA0000390","HAMPTON INN",40.1492455,-105.101868,2,4.5,437,36.42857142857143,3.5,7
"FA0000391","HAOWAY CHINESE CAFE",40.0163803,-105.2526305,1,4.2,229,22.545454545454547,3.5,11
"FA0000392","HAPA SUSHI AND SAKE",40.0178425,-105.2808494,2,4.4,968,30.833333333333332,2.0,6
"FA0000394","HENRYS BAR AND GRILL",39.9769938,-105.1313319,1,4.1,125,8.4,2.5,5
"FA0000396","GOOD EATS GRILL",40.1783867,-105.1158826,1,4.6,481,46.53846153846154,4.333333333333333,13
"FA0000399","HIDDEN CAFE",40.1734733,-105.1028272,1,4.6,341,51.666666666666664,4.5,9
"FA0000401","HUCKLEBERRY",39.976987,-105.1319715,2,4.5,1620,63.333333333333336,8.0,24
"FA0000402","NEW MOON BAKERY",39.962135,-105.5105752,1,4.6,547,25.0,2.0,6
"FA0000406","DUNKIN DONUTS #856",40.0335307,-105.2592352,1,3.6,456,35.77777777777778,2.3333333333333335,9
"FA0000407","KFC AND TACO BELL STORE 474",40.0138709,-105.2111301,1,3,523,28.333333333333332,2.0,6
"FA0000411","SUSHI HANA JAPANESE CUISINE",40.1954234,-105.1029186,2,4.5,468,37.916666666666664,4.0,12
"FA0000414","JOHN HAROLD BUCKLEY POST 32",40.1540914,-105.1124653,2,4.7,87,64.78571428571429,4.666666666666667,14
"FA0000416","SUSHI HANA",40.0085287,-105.2766725,2,3.4,87,74.73684210526316,6.5,19
"FA0000418","RIVER AND WOODS",40.0207887,-105.2649127,2,4.5,974,62.0,4.0,8
"FA0000421","SKA STREET BREWSTILLERY",40.0149857,-105.2455479,2,4.4,158,65.83333333333333,4.0,12
"FA0000432","KOREA HOUSE",40.0323957,-105.2596712,2,4.3,296,19.8,2.5,5
"FA0000436","FRASCA FOOD AND WINE",40.0192053,-105.2724707,4,4.6,487,48.44444444444444,2.6666666666666665,9
"FA0000442","HOMEWOOD SUITES BOULDER",39.9973834,-105.2326884,0,4.4,523,22.666666666666668,2.0,6
"FA0000443","EFRAINS II",40.01538439999999,-105.2061839,1,4.5,1310,68.82352941176471,4.25,17
"FA0000445","EFRAINS",39.9973756,-105.0901515,1,4.3,1351,45.0,4.0,25
"FA0000447","EUREST DINING SERVICE AT IBM CANTEE",40.08903249999999,-105.1981362,2,3.6,11,99.78947368421052,5.0,19
"FA0000449","ASH KARA",40.0177094,-105.2816351,2,4.3,101,82.0,8.0,16
"FA0000451","RINCON ARGENTINO",40.0149621,-105.2627948,1,4.8,1766,22.5,1.5,4
"FA0000455","LA MARIPOSA RESTAURANT",40.1528021,-105.113927,2,4,677,29.833333333333332,4.0,12
"FA0000456","LA MARIPOSA RESTAURANT(LYONS)",40.2220558,-105.2640528,2,4.2,302,51.666666666666664,6.0,12
"FA0000457","SANTIAGOS MEXICAN RESTAURANT",40.162504,-105.1030099,1,4.4,1603,18.333333333333332,1.5,3
"FA0000458","LA PANDA II",40.1784725,-105.1020189,1,4.3,269,62.78947368421053,5.5,38
"FA0000466","ROYAL WOK",40.1934837,-105.1016396,1,4.1,568,73.53846153846153,8.666666666666666,26
"FA0000467","MOJO TAQUERIA",40.037234,-105.258958,2,4.5,164,37.77777777777778,3.0,9
"FA0000473","BOCO RESTAURANT THE",39.9980269,-105.2328968,2,4.8,267,50.22222222222222,3.0,9
"FA0000474","SAND WEDGE CAFE & BAR",40.0138709,-105.2111301,1,4.7,1101,34.411764705882355,4.0,17
"FA0000476","LUCILES CREOLE CAFE",40.0200908,-105.2776533,2,4.6,1392,27.857142857142858,2.0,7
"FA0000481","LOYAL ORDER OF MOOSE LONGMONT LODGE",40.1970124,-105.1069013,2,4.3,118,25.0,3.0,3
"FA0000484","LE PEEP",40.0152398,-105.2600413,2,4.4,551,51.75,7.0,16
"FA0000486","ROOST THE",40.1683811,-105.1023012,2,4.5,2352,56.47826086956522,6.666666666666667,23
"FA0000487","LEFTYS GADGET AND PIZZA",40.10204100000001,-105.1700541,2,4.4,144,39.54545454545455,5.5,11
"FA0000493","BUDDHA CAFE",40.0371291,-105.2601149,1,4.2,427,65.06666666666666,6.5,30
"FA0000494","JULIES THAI KITCHEN",40.2224975,-105.2643957,2,4.3,178,44.0,5.0,15
"FA0000500","CORRECTION MANAGEMENT INC",40.163251,-105.1020964,2,4.2,1235,21.666666666666668,1.5,3
"FA0000502","LUCILES CREOLE CAFE",40.1682067,-105.1008403,2,4.6,1450,52.0,3.3333333333333335,10
"FA0000511","LONGMONT PERFORMING ARTS CENTER",40.1679107,-105.1029186,2,4.3,1085,20.0,2.0,2
"FA0000515","MEADOW MOUNTAIN CAFE",40.1869328,-105.4860398,2,4.7,113,80.0,7.0,14
"FA0000522","LAS PALMERAS TAQUERIA",40.1787733,-105.1169866,1,4.5,366,45.142857142857146,3.5,7
"FA0000526","MELTING POT RESTAURANT",39.9774863,-105.131903,3,4.6,1605,80.93333333333334,7.5,15
"FA0000534","TACOS AL MOLCAJETE",40.1748109,-105.1020279,1,4.4,703,59.1,5.0,20
"FA0000535","UDON KAISHA",39.9885203,-105.0913203,1,4.3,297,22.416666666666668,3.0,12
"FA0000536","TACO JUNKY",40.00826490000001,-105.2764618,2,3.8,153,38.0,4.0,10
"FA0000538","SNARFS",40.1520525,-105.1047228,1,4.4,457,10.0,1.0,3
"FA0000541","MILLSITE INN",40.0787268,-105.5026772,1,4.2,88,30.0,3.0,6
"FA0000544","MOES BROADWAY BAGEL",40.0250503,-105.2810448,1,4.3,298,31.428571428571427,2.3333333333333335,7
"FA0000545","MOES BROADWAY BAGEL",40.0148045,-105.213055,1,4.3,452,20.625,2.5,8
"FA0000547","GAIA MASALA AND BURGER",40.0076462,-105.2758206,2,4.5,283,43.0,8.5,17
"FA0000556","MOUNTAIN SUN PUB & BREWERY",40.0190106,-105.2752151,1,4.6,2057,35.0,2.5,5
"FA0000558","MUSTARDS LAST STAND",40.0144493,-105.2790174,1,4.4,801,10.0,1.0,2
"FA0000567","NEDERLAND COMMUNITY CENTER",39.9646611,-105.5120895,2,5,3,20.0,1.5,3
"FA0000572","NICK N WILLYS PIZZA",40.0171028,-105.2848247,1,4.3,169,39.57142857142857,3.5,7
"FA0000574","KTS BBQ",40.0251452,-105.2810435,2,4.2,159,37.2,2.5,10
"FA0000578","MILE HIGH PHO",39.9612135,-105.166467,2,4.2,261,46.57142857142857,3.25,14
"FA0000579","NOODLES AND COMPANY #102",40.0260409,-105.2813368,1,3.7,175,10.333333333333334,1.5,3
"FA0000580","TWELVE DEGREE BREWING",39.9782539,-105.1318801,2,4.7,260,25.714285714285715,3.5,7
"FA0000582","SANTO",40.0259872,-105.2811539,2,4.6,573,56.31818181818182,5.333333333333333,22
"FA0000587","MAY WAH RESTAURANT",39.9988256,-105.2612517,2,4.4,346,39.1578947368421,5.333333333333333,19
"FA0000590","BLACK PEPPER PHO",40.0219741,-105.2590053,2,4.2,385,76.8108108108108,6.2,37
"FA0000592","LITTLE TIBET RESTAURANT",40.055839,-105.2826737,2,4.7,269,38.84615384615385,3.3333333333333335,13
"FA0000594","BEST WESTERN PLUS BOULDER INN",40.0015558,-105.2574744,2,4,240,42.27272727272727,3.6666666666666665,11
"FA0000599","OSKAR BLUES",40.2242961,-105.2685792,2,4.3,1799,20.0,2.0,4
"FA0000603","OUTBACK SALOON THE",40.03166150000001,-105.2593591,1,4.1,411,70.3125,4.0,16
"FA0000605","QUES ESPRESSO",40.1512854,-105.1531705,1,4.6,174,19.285714285714285,2.5,7
"FA0000611","TACO BOULDER",40.0169852,-105.2800769,2,4.5,1401,141.89655172413794,9.666666666666666,29
"FA0000613","PANADERIA LA PANDA BAKERY",40.1517349,-105.1034871,1,4.2,188,56.0,4.5,15
"FA0000614","PARMA TRATTORIA MOZZARELLA BAR",39.9616196,-105.1672438,2,4.5,1124,20.666666666666668,3.0,6
"FA0000615","DOS WAPOS",40.014328,-105.128281,1,4.5,105,27.0,6.666666666666667,20
"FA0000616","FRANKS CHOP HOUSE",40.0165533,-105.2828453,3,4.3,446,55.90909090909091,3.6666666666666665,11
"FA0000621","PAPA MURPHYS",40.2003792,-105.1019365,1,4.2,237,29.0,2.5,5
"FA0000624","PARKWAY RESTAURANT",40.0249054,-105.2433207,1,4.7,1101,90.5,5.0,20
"FA0000627","EMPIRE LOUNGE AND RESTAURANT",39.9781258,-105.1318116,2,4.3,317,72.6,8.333333333333334,25
"FA0000628","PASTA JAYS",40.0175029,-105.282453,2,4.2,1453,45.57142857142857,3.5,14
"FA0000629","STARBUCKS COFFEE 10857",39.9999024,-105.2630509,2,4.1,302,5.0,1.0,1
"FA0000630","FLATIRON COFFEE",40.015,-105.2591928,1,4.4,488,15.0,2.5,7
"FA0000639","MCCARTHYS PUB",40.15862569999999,-105.1021878,1,4.1,346,23.333333333333332,3.0,6
"FA0000642","MCDONALDS 0109",40.0193158,-105.2579323,1,3.5,1088,24.0,2.5,6
"FA0000644","MCDONALDS HOVER",40.1496672,-105.1314461,1,3.3,928,27.23076923076923,2.3333333333333335,13
"FA0000649","INDIAN PEAKS GOLF COURSE AT LAFAYET",40.0067463,-105.1244908,2,4.4,106,25.333333333333332,2.5,9
"FA0000653","ILLEGAL PETES",40.0188174,-105.2763118,1,4.5,1335,22.833333333333332,2.0,6
"FA0000654","CASA ALEGRE",39.9767355,-105.1303268,2,4.1,621,87.775,6.8,40
"FA0000655","COVERED WAGON",39.96205339999999,-105.5100258,2,4.1,69,33.57142857142857,2.5,7
"FA0000656","BROOKLYN PIZZA",40.0147787,-105.2727487,1,4.3,317,55.03703703703704,7.666666666666667,27
